Unnamed: 0,youtube_id,comment,like_num
0,이퓨리현,저도 영상보기전에는 굳이 광고목적으로 자외선차단제와 태닝오일 반반실험을 하시나 싶었는데 영상 다 보니까 광고를 위한 실험보다는 전부터 하고싶던 아이디어인데 좋아하는 선크림광고 들어온겸 하신거 같아요ㅋㅋㄱㅋ 회사원님이 피부를 혹사 시키면서 실험했는데...너무 당연한 실험아니냐 하는건 슬픈거같아유 그리고 진짜 힐링영상인거 같아요...나도 같고싶어 힐링하우스..ㅠㅠㅠ,194개
1,닉값합니다,"언니 비건커스메틱 브랜드로 화장하기, 소개하기로 콘텐츠 어때요? 생각보다 동물실험하는 브랜드가 많더라구요",142개
2,YJKim,와우 얼굴반반으로 도전하시기 쉽지않으셨을텐데 항상 대단한거같아유ㅠㅠ,100개
3,먹보캐럿,나 왜 영상이 안봐지지..,32개
4,루나루나,"영상 보다가 익숙한 목소리랑 동작이 나와서 자세히 들어보니 미서원스트레칭영상이네용 ㅋㅋㅋ 
급 친숙함 ㅎㅎ 저거 효과 짱좋아욤",7개
5,신다희,영상이 안봐져..ㅜㅜㅜ 계속 광고까지는 보이는데 로딩이 계속돼요ㅠ 지금 한 10분째 께속 안봐져요ㅠㅠ 회사원님 영상만..ㅜㅜ 저도 보게 해주세요 ㅠ,69개
6,박쑤쑤,이 영상만 재생이안되요 ㅠㅠㅠㅠ,56개
7,징징이뿌랄,아직도 영상 재생이 안되네용ㅠㅠㅠ,15개
8,우웅웅,언니 이 영상만 재생이 안되네요ㅠㅠㅠㅠ,17개
9,박은경,"볼수록 회사원 A가 B텐션으로 변하는 듯한 것은 나만의 착각인걸까요....ㅋㅋㅋㅋ 둘다 좋아요♡ 많이 올려주세용♡
자차를 바르는 습관없는 사람 얘기하시는데 넘나 뜨끔....ㅋㅋㅋㅋ 화장하기 전에 바르기엔 저에겐 너무 기름지고 대부분 밀려서 넘나 불편하더라고요!! 괜찮다는 리뷰보고 사도 불편했는데.... 비트 더 선은 괜찮을까요??",67개
10,suLee,야외태닝 4년차인데 7~8월 직사광선에서 태닝안하던 사람이  야외태닝 하시면 화상입여요,61개
11,삘롱뺄롱,유료광고가 포함되어있지만 분명 컨텐츠 주제는 태닝오일 대 썬크림 반반 발라봤다! 입니다 여러분,58개
12,베니diary스피츠,왜 나 이북리더기 뽐뿌가 오는거지,16개
13,동동,난 병맛예상하구 왔는데 은근 힐링영상이당,18개
14,핑크돼지저금통,앜ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 개신박한 실험이닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,30개
15,Jay,아 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개쩐닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ손 차이봨ㅋㅋㅋㅋㅋ진짜 여러분 선크림이 이렇게 중요합니닼ㅋㅋㅋㅋㅋ,22개
16,jp,반반통닭이 생기면 이럴듯 한쪽은 A 바르고 한쪽은 B 바르고 똑같이 태우기~~,34개
17,MinjeongKim,선크림  광고였다면 음 태닝오일이 아니라 아무것도 안바른편이 나았지 않았을까 싶어요 그냥 피부색 변화정도 라면 그부분이 좀더 중점적으로 보였으면 싶고요 영상의도가 좀 모호해보여서 쓰고가요 잘보고 갑니다:>,49개
18,김복희,언니 진짴ㅋㅋㅋㅋㅋ예전부터 하고 싶어했던거 기억나요ㅋㅋㅋ 드디어 찍으셨군뇨! 언니 영상에서만 볼수있는 재미~!💛🥰,12개
19,이구아나,"언니! 여름건성메컵해주세요 매트지옥에서 살아남을수있는 메컵이 절실합니다ㅠㅡㅠ
지성인은 정말 축복받으신거 같은데ㅠㅠ 뭐만하면뽀송한 마무리감! 뿌숭팩트! 기름종이 
나는 기름이 없다구ㅠㅡㅠ 여름에 겉보속촉메컵해주세요 베이스국물 안흐르는게절실합니다ㅠㅡㅠ",17개
20,김도연,"역시 자차는 필수였군요... ಥ_ಥ 
바르고 다니기 너무너무 귀찮아요 그치만,, 노후를 막기 위해서는 그 귀차니즘을 극복해야 겠네용",6개
21,서Regina,제 인생 선크림! 진짜 촉촉하고 안끈적이고 답답하지 않아요. 유분기가 약간 있는데 수부지인 저도 잘 쓰고 있습니다. 진짜 최고,3개
22,수수,"다른고 열심히 써도 결국은 크레이브뷰티로 정착하게 되더라구요!! 리아유님 그리고 브랜드 철학 그리고 디자인 하나하나 마음에 들어요 ! ❤️ 성분 부터, 재활용이 가능한 점 (생각보다 재활용이 되지 않는 제품들이 많다고 들었어요) 아니근데 히... 광고맞죠...(?) 하고싶은 컨텐츠아닌가요!! 좋아요좋아요 !
이번 여름은 다시 크레이브뷰티 비트더 썬으로 돌아가고싶어요! (마침 다써가기에... )",1개
23,라떼,비트더선이 사고싶어지는건 아니고 그냥 자외선차단을 잘해야겠다생각이드는 영상ㅋㅋ,3개
24,완와니,항상 신박한 아이디어 내시려고 하는건 정말 존중해요. 근데 요즘 올라오는 영상이 죄다 광고 걸려있어서 조금 불편해요... 물론 들어오는 광고 중에서도 평소에 잘 쓰시고 애정하시는 브랜드만 골라서 진정성 있게 하신다고는 믿습니다만 그래도 어쩔수없이 아쉬운 점이 있네요ㅜ 굳이 광고 제품을 이용한 영상 아니더라도 재미있고 창의적인 영상 잘 만드시니까 부탁드려욤!!!,1개
