닉네임,댓글,좋아요수,날짜
윶이니,매장이 멀어서 직접 가서 사기 힘들어서 못 갔었는데 이렇게 온라인샵 오픈해주셔서 감사드려요🙏 저도 홈베이킹을 좋아하고 제 꿈이기도 해서 아리님 영상 보면서 베이킹 성공하면 너무 뿌듯했어요 항상 좋은 영상들 너무 감사드려요❤❤,10개,2020. 5. 22.
에베베벱,꺄아  멀어서 못가고 있었눈데에ㅠㅠㅠ 빨리 시켜야 겠네요오 디저트를 택배로 받게 해주셔서 감사합니다아ㅠㅠㅠ 언니 사랑해요😚,19개,2020. 5. 22.
지효YouTube,히이 ㅠㅠ 언니꺼 먹고 싶어두 ㅠㅠ 멀어서 코로나때문에 못갔눈데 ㅠㅠ 드디어 먹을수있다니 ㅠㅠ,5개,2020. 5. 22.
에베벱,"헐헐ㅜㅠㅠ 멀기도 하고 요새 코로나 때문에 밖에 나가지도 못 했는데ㅠ 이렇게 신경써주셔서 감사해요 항상💖💖
드디어 아리님의 예쁘고 맛있는 디저트를 영접할 수 있는건가,,",9개,2020. 5. 22.
퓨밤,아리카롱 진짜 먹어보고 싶었는데ㅠㅠㅠ,7개,2020. 5. 22.
경인,살롱 뒤 쇼콜라에서 아리카롱 처음 사본 것 말고는 사본 적이 없는데 온라인 사이트로 구매 할 수 있어서 너무 좋은 거 같아요!! 12시에 주문서랑 영상이 같이 나오면 주문서 쓰면서 영상 보느라 시간이 없을 거 같아요 ㅋㅋ 온라인 사이트 만들어 주셔서 감사합니다 :),8개,2020. 5. 22.
손세인,"진짜감사해용ㅠㅠ
저계속 가려고하다가 결국 코로나19때문에
못갔어요ㅠ
감솨합니당!!",5개,2020. 5. 22.
알알몬,"유튜브로 유명세 얻고 매장오픈해서 성공하니까 유튜브는 버리는 사람들에 반해
바쁜와중에도 신경써주신게 눈에보여서 감동이네요",3개,2020. 5. 22.
06현뚜,우왕!!좋당! 나올때마다 사야겠당,9개,2020. 5. 22.
지니어스민트바닐라,꺄아 아리언니 아리키친샵 인터넷 오픈 축하드려요 👏🏻👏🏻 행복하네요 ㅎㅎ,6개,2020. 5. 22.
