닉네임,댓글,좋아요수,날짜
cyL,이거보고 니콘내콘 바로 깔았어요!!,0개,2020. 5. 18.
LockDaTV락다티비,유용유용하다 더치페이 유용하다,0개,2020. 5. 18.
김,니콘내콘으로 선물는 어떻게 하나요?,0개,2020. 5. 18.
김민섭,좀있으면 10만...!,0개,2020. 5. 18.
재민TV,안녕하세요 어제 못봐서 오늘 보러왔어요.,0개,2020. 5. 18.
이윤규,10만가즈아,0개,2020. 5. 18.
희준,자취하시는 분들은 라스트 오더 어플도 써보시는 거 추천합니당! 가게에서 하루 장사 마치고 버리게 되는 식재료를 줄이기 위해 엄청 싼 값에 음식들을 팔아요! 커피는 1~2천원 정도면 삽니당,0개,2020. 5. 18.
박리오,안녕하세요 잇츠오케이 리오입니다 오늘도 재밌는 영상감사합니다~감사합니다,0개,2020. 5. 18.
허균,귀여워 옥희씨...,0개,2020. 5. 18.
김도연,1빠,0개,2020. 5. 18.
홍뮤,"영상에나오는뚜꺼운 책제목몬가요
궁금해서 여쭤봐요",0개,2020. 5. 18.
스누피,싫어요 누른 사람은 이런꿀팁까지 싫어하나?,0개,2020. 5. 18.
날두야경기뛰어라,이쪼께,0개,2020. 5. 18.
댓츠라잇Thatsright,오호 오호 좋아요,0개,2020. 5. 18.
서하림,숙제때매.....,0개,2020. 5. 18.
CHANWOOKim,잇쵸케 흥해라~!!,0개,2020. 5. 18.
김헤리티지,OK 👌,0개,2020. 5. 18.
나무,"꺄아ㅏㅏㅏㅏㅏ
엄청 기다렸잖아요ㅜㅜㅜㅜㅠㅠㅠㅠㅠ
제가 요즘 댓글을 많이 다네요!ㅋㅋ제가
6학년인데도 정말 이해가 잘되고 재밌어요!!
민성님 싸랑해용!😍😍",0개,2020. 5. 18.
나현우,"잇몸 오케이?
고정 오케이?",1개,2020. 5. 18.
Clapper,집콕하면 니콘내콘 기프티콘을 못쓰는 아이러니ㅠ,0개,2020. 5. 18.
정재욱,내가 읽은 뉴스 기반으로 AI추천하는거는 잘못하면 한가지 의견으로만 편향 될 수 있어서 사용에 조금 조심해야할 거 같네요,0개,2020. 5. 18.
황유찬,"집콕이 이렇게 위험한 행동이었다니🤭🤭
집콕하면 하루종일 스마트폰만 보기👌👌
어플 추천 영상이라니👻👻
뉴썸 !뉴스와의 썸😯😯
요즘 뉴스 볼 일이 없는데 유용한 어플이네요.
재밌섬 ㅋㅋ🤣🤣
Ai  기반으로 뉴스 추천🤔🤔
윌라 라디오😳😳
책 듣는 구독 서비스😀😀
두꺼운 책은 두꺼운 냄비 받침👌👌
영어 오디오북😯😯
유명한 분들의 강연도😊😊
엔팡😳😳 더치페이 어플😯😯
Aaa형😅😅
누가 얼마내야 하는지 정리해사 알려주다니👍👍
니콘내콘👌👌
기프티콘 싸게 살 수 있는 앱🥰🥰
티끌모아 태산😉😉
이렇게 유용한 어플들을 알려주셔서 감사합니다.🙇🏻🙇🏻",1개,2020. 5. 18.
김용구,잇츠님 안녕하세요,0개,2020. 5. 18.
바견시,아  진짜 인트로 너무 귀여운거 아닙니까?ㅋㅋㅋㅋㅋㅋ,2개,2020. 5. 18.
익명,앱 추천 너무 오랜만 이에요! 한번 다 써봐야겠어요ㅋㅋㅋ,0개,2020. 5. 18.
파분TV,"1. 뉴썸
2. 윌라
3. 엔팡
4. 니콘내콘",2개,2020. 5. 18.
