닉네임,댓글,좋아요수,날짜
김몰캉,분식이 이래도 되는가 떡볶이도 맛있어요 !! 오징어튀김도 통통하면서 크고 순대도 맛있고 진짜 맛있어요 한 번 먹어주세요 ㅠ 햇님님 먹방에서 보고싶어오,1개,2020. 5. 24.
우냥,노란그릇 순간 앞접시인줄 .... ㅎㅎㅎ,1개,2020. 5. 24.
아이고,언니 입이 정말 짧아 지셨나? 하고보고있는데..후식 초밥 🍣 💗 😂 💕,1개,2020. 5. 24.
BESTPORI,다이어트할땐 햇님님이죠♡♡♡ 아 대리만족 ... 제가 다 좋아하는것들만 먹고있어서 기부니가 좋아요,1개,2020. 5. 24.
uyooo,분모자 떡볶이라니ㅠㅜㅡㅡㅡ,1개,2020. 5. 24.
성실군,진짜 너무너무 부럽다ㅜㅜㅠ 나도 초밥 15~20종류 두피스씩 먹을 수 있는 위장을 가지고싶어...,1개,2020. 5. 24.
hhyoung,"햇님언니 후식 클라스,,,♡ㅎㅎ
언니 과자방<< 요기 찐찐찐 구움과자 맛집이에요 엉엉♡ 꼭 드셔보세요♡♡♡",1개,2020. 5. 24.
도도,"햇님님.... 저 그냥 유튜브로 다른거 보다가 이게 떠서 홀려서 들어와서 봤는데.. 방금 배떡 분모자 떡볶이 시켰읍니다.. 현재 시각 11시 12분.. 한번 먹어보겠습니다.. 떨려요

PS. 저 놀토 애청자에오 사랑합니다.",0개,2020. 5. 24.
꼬냥이,헉스 배떡 로제 진짜 맛있는데 대박 햇님님이 드셔주다니,1개,2020. 5. 24.
은아,님덜 인천에도 배떡 있어요 시켜드세요 로제떡볶이 핵존맛,1개,2020. 5. 24.
가또이,햇님님의상놀토의109회의상이당!!!,1개,2020. 5. 24.
초초양,우와 분모자 너무 먹고싶었는데 떡볶이에다가 ♡.♡좋은정보 감사용,1개,2020. 5. 24.
권지니,저 옷이 왜케 주방장 유니폼 같은거죠? ㅋㅋㅋㅋㅋㅌㅌㅌ,4개,2020. 5. 24.
AA,영상에는 떡볶이 가격 10500원이라 되어있는데 더보기란에는 18000원이라 되어있네요...?,1개,2020. 5. 24.
정민,왜 우리집 근처에 배떡이 없을까요...ㅠㅠ,1개,2020. 5. 24.
태용프렌즈,물마시는거 편집안해주셔서 감사합니다❤️,1개,2020. 5. 24.
한영진,아...정말....맛있겠네요 ㅠ륦륲류류류류ㅠㅠㅠ분모자도 좋은데 집게살 튀김 아니 그냥 튀김류 다 탐나네요오오,1개,2020. 5. 24.
yoo1023777,언니 옷 유니폼 아니죠? ㅋㅋㅋ 뭔가 메뉴와 조화롭네요 떡볶이와 빨간의상 포인트 ㅋㅋㅋ,1개,2020. 5. 24.
복또니,맛있게 잘 먹는 만세 언니..♡,2개,2020. 5. 24.
이하연,"맛있겠다 진짜루,,,,",1개,2020. 5. 24.
둥이커염,아닠ㅋㅋㅋㅋ어떻게 후식이 초밥이얔ㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 24.
LevelwithMe,안녕하세요:) 탱구님팬하면서 성대모사 영상과 놀토에서는 많이 뵈었는데 오늘 제대로 된 먹방은 처음보네요~!! 첫 먹방부터 너무 레전드를 봐버린 것 같아요ㅎㅎ영상 자주 볼게요!! 맛있게 드셔서 저도 기분이 너무 좋아지네요💕햇님님 화이팅!!,1개,2020. 5. 24.
KhadijahSeLamat,Thank you for eng sub💕,1개,2020. 5. 24.
이항냠,아진짜 몰래몰래 빼먹고싶더,2개,2020. 5. 24.
나모모,13:45 ㅋㅋㅋㅋ입가심중 ㅋㅋㅋ,0개,2020. 5. 24.
동석ASMR,하 배고파진당ㅜㅜ,1개,2020. 5. 24.
ViaKIM,이날 생방 볼때 평소보다 더 빨리 드신다 했더니 놀토 보니까 이해가 될 것 같기도 ㅎㅎ 놀토 촬영하고 왔다고 하셨는데 이날 2라운드에서 1차에 정답 맞춰서 햇님님 못드심;;;,9개,2020. 5. 24.
째욘째욘,언니~ 크림 진짬뽕 먹어쥬ㅓ용!!!! 진짜 맛있다고 그래서요!!,1개,2020. 5. 24.
Heesun111,맛있겠땅😆💕,2개,2020. 5. 24.
로에민LOEMIN,우와 정말 대단해요👍🏻👍🏻,2개,2020. 5. 24.
요미,12:55 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 24.
homehi,저도 생새우파 ~~!,1개,2020. 5. 24.
먹제쉬ASMR,너무 좋아하는 분모자떡볶이 또 보네요~^^,1개,2020. 5. 24.
사탕ttt,언니 저 한입만 주세요!!,2개,2020. 5. 24.
문종호,후식이 신기하네요;;,2개,2020. 5. 24.
0교시자취영역0CLASS,와 너무 맛있겠어요 ㅠㅠ,3개,2020. 5. 24.
Ssseyo1,너무 배고프잖아여....,1개,2020. 5. 24.
김하이브리,저두 분모자 떡볶이 좋아해욘 ㅎㅎ부산에 불스떡볶이에서 기본떡볶이에 분모자 추가해서 먹어요 ㅠㅠ분모자떡볶이가 따로 나왓으면 좋겟어욤 ㅋㅋㅋㅋㅋ분모자 쫄깃쫄깃 존똑 해욤 퍼지면 엄청부드러우면서 살짝 쫄깃하구용 ㅋㅋㅋ하 진짜 또 먹고싶어요 ㅋㅋㅋㅋㅋ진짜 분모자 최고에요 ㅠㅠ♡♡♡,1개,2020. 5. 24.
JayChung,"와.... 저는 떡볶이도 너무 좋아하고 참치마요밥도 좋아하는데 떡볶이 국물에 밥 비빌 생각은 왜 30년이 넘도록 한번도 안해봤을까욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언니 정말 창의적이예요!!
사랑해요 엉니😆",1개,2020. 5. 24.
초코식빵,아 이분이 이모 잘먹지 그분인가?,0개,2020. 5. 24.
쎄바스촨,100만들었ㄷr,2개,2020. 5. 24.
과일쟁이,오늘 옷 주방장 옷 같아요ㅎㅎ,1개,2020. 5. 24.
ChatCharmant,와대단하다....,0개,2020. 5. 24.
Morai모라이Ordell,"떡볶이이랑 튀김의 조화는 진짜 누가만들었을까요? 서울 도곡동에서 태어나서 개포동에서 미국 이민가기까지 살았는데요. 개포상가안에 떡볶이집이 있었어요.( 아직도 있나모르겠네요) 거기서 200원어치 떡볶이를 녹색 플라스틱접시안에 한가득 줬어요. (80년대때) 그럼 고구마튀김이랑 오징어튀김을 우리 고모가 우리집에 오실때마다 그렇게 떡볶이 국물에 찍어드시는거 보고 따라먹게되었죠. 떡볶이 순대 튀김은 진짜 한국인의 분식 탑10안에 꼭 드는 아이들인것 같아요. 군침돌아 죽겠네요. 미국 워싱턴 벤쿠버는 시골이라 떡볶이 먹으려면 오레곤주( 다른주까지 운전해서 가야함 완전 서글픔) 비벌튼 한인타운까지 가서 마트안에 만들어서 파는날 날짜 알아보고 가서 사먹어야해요 그것도 플라스틱 용기안에 있는거 다 식어빠진거요. 
워싱턴주가 커서 같은 주여도 시애틀 한인타운은 집에서 3시간 걸리고 오레곤주가 더 가까운데 그것도 30분 넘게 운전해서 가야하는 서글픈세상... 젠장 이럴꺼면 아예 미국서 태어나서 아예 떡볶이맛을 모르던지 입맛은 아예 한국인으로 만들어놓고 뜩 이민온 부모님도 원망하고 그랬네요 40살인데 철없지만 암튼 늘 대리만족하고 가요.",12개,2020. 5. 24.
수박씨MrWatermelon,0:00 음식 소개부터 남다르다..서민들이 즐겨 먹을수 있는 조합은 다 사서 드시는 것 같다❤️ 그래서 더 공감되고 합리적이다 ㅎㅎㅎ🤤🤤🤤,2개,2020. 5. 24.
햇쏘리야,햇님의 먹방엔 본식 후식이라는   단어가 편의상의 나눔일 뿐 그냥 '햇님이 오늘 먹고 싶은 것들' ㅋ '오늘  분모자 떡뽁이 먹고 싶어!!!근데 초밥도 먹고 싶어!!!!어쩌지?' 이것이 일반적인 생각이라면 햇님은 '그럼 다 먹으면 되잖아!!!!'임ㅋㅋ,21개,2020. 5. 24.
혜루today,보고있으면 너무 배고파져요오...,0개,2020. 5. 24.
뿷꿵쏷,"놀토에서 햇님님 먹방 많이보는 방법:




하키님 곡 제보하기
(진짜 잘 드신다)",6개,2020. 5. 24.
비니BEENIE,2등,1개,2020. 5. 24.
iuu,하 떡볶이 먹고싶어요,1개,2020. 5. 24.
룰루랄라,언니 옷이 주방장같아요,1개,2020. 5. 24.
Vienna비엔나,응아 얼마나 하세요..?,0개,2020. 5. 24.
젤수딩,언니 초밥왕 같아요 존귀,0개,2020. 5. 24.
Eunjung,저 보통 먹는소리 안 좋아하는데 햇님님은 멘트도 먹는 소리도 담백해서 좋은듯요! 자주 뵙겠습니당~,0개,2020. 5. 24.
일훈쥬스,"배떡 집 근처에 있는데 항상 지나만다녔던..😭
포장해서 종류별로 다 먹어봐야지ㅠㅠ",4개,2020. 5. 24.
조진희,꺄,1개,2020. 5. 24.
탄포포,취사병 옷을 입고계시넹,0개,2020. 5. 24.
예술하는공학자,원래 떡볶이 잘 안 먹는데.. 이거 보고 엽떡 가서 2인 떡볶이에 치즈까지 추가해서 혼자 싹~ 비우고 왔네요 ㅋㅋ 요즘 제 입맛이 햇님님을 따라 가고 있네요.. 최근 붕싸도 열심히 먹고~,3개,2020. 5. 24.
봄봄,"언니 떡볶이 드시는거 보구 생각났는데여..
아딸이라는 브랜드가 감탄으로 바뀌었는데 여기 진짜 떡볶이 마싯구 튀김도 마싯는데
이번에 국물떡볶이 나왔대여ㅠㅠㅠ한번 드셔주시면 안댈까여
여기 기본으로 당면도 들어가고 묵은지 날치알 주먹밥도 있는데
언니 맛평가 듣고싶어여..",7개,2020. 5. 24.
응애,배구파ㅠㅠ,2개,2020. 5. 24.
김루비,뜬끔없지만 햇님 손가락?손아귀 힘 강할 것 같아요,4개,2020. 5. 24.
Kim히애,언니 로시한국당면으로 꾸덕한 크림파스타 한번 해주세요ㅠㅠ😍,2개,2020. 5. 24.
콩이먹방Tv,배떡 저번에 먹어봤는데 괜찮더라구요👍,2개,2020. 5. 24.
이윤희,"전  오늘 저녁에 밥먹기 귀찮아서 떡볶기
튀김 세트 시켜먹었는데요 🤭🤭🤭🤭
햇님님 분모사 떡볶이 & 후식 초밥  편집분이
올라왔네요🙊🙈  요즘 날씨가 더워져서
비빔냉면 물냉면 이런거 먹방해서도 좋은듯
  하네요 I LOVE YOU  ..............♡",2개,2020. 5. 24.
로블록스핵그지,아지금밥먹어ㅛ는데엄천맛있게드시네맛있게당우리친언니초방대빵좋아하느느데친언니버고십당언니는이모내집가있어ㅠㅠ,0개,2020. 5. 24.
