닉네임,댓글,좋아요수,날짜
로즈쥬아,"아 너무 햄벅,,,❤️!❤️!
아기다리고기다리던 영상인데 
제가 너무너무 좋아하는 브이로그라늬🌺🌺
언니는 사랑입니ㄷr
아니아니 별거 없어도 돼여😭😭
언니만 있으면 돼💕
진짜진짜 사랑해요 이렇게 긴긴 브이로그를
올려주셔서 정말 감사합니다 아껴 보겠습니닷!!
아니 계속 보겠습니닷!!❣️
+와 저 진짜 깜짝 놀람욬ㅋㅋ중간중간 얼마까지 본지도 확인 한 하고 얼 빠진 듯이 보고 있었는데 이제 본격적으로 봐야지 하고 시간 확인하니까 30분,,,,,,,,헐,,,,시간 너무 빨리 감
언니 영상 준비하는 동안 호그와트 갔다 왔죠,,,마법을 걸어논 게 분명해,,,,,진짜 미쳤어 오늘 영상 진짜 미쳐써,,,😍
사랑해여r 
+  21:24
립스틱이 너무사고 싶지만 언니의 다음 립 추천 영상까지 기다릴꼬야!!언니가 추천하는고 살꼬야!!!언니의 화장품 추천 영상 진짜 최꼬야!요!
+   27:48 
헐 깜놀 넘 예쁘쟈나요 화장 찰떡이쟈나요,,뭐가 맘에 안 들어여😭😭
갑자기 오류나서 카메라 떴는데 진짜 
현타옴욬ㅋㅋㅋ
+ 14:27
와.........진짜 예뻐...넋 놓고 봤,,ㅋㅋ
저두 사고 시프네유ㅠㅠ
케이스 완전 언니 같아욤!!❤️
화려해 예뻐 짜릿해
요
+  26:04
어?인스타에서 봤던 그 사진!!!!(반갑반갑)
언🌹
언니
언니는
언니는 오
언니는 오늘
언니는 오늘도
언니는 오늘도 넘
언니는 오늘도 넘 예
언니는 오늘도 넘 예뻐🌸
언니는 오늘도 넘 예뻐요🌸
언니는 오늘도 넘 예뻐🌸
언니는 오늘도 넘 예
언니는 오늘도 넘
언니는 오늘도 
언니는 오늘
언니는 어
언니는
언니
언🌹
옛날부터 해 보구 싶었던 고..희희희😅",3개,2020. 5. 23.
1학년7반13번유수아,비상 작품 설명 읽다가 풉 하는거 왤케 웃길까옄ㅋㅋ 예뿌고 귀엽구 혼자 다행...❤,31개,2020. 5. 23.
라즈베리무스케익,"언닌 진짜 신데렐라가 부모님께 사랑 듬뿍받으면 언니같을 것 같아요❤ 너무 예쁘고 사랑스러워요💛💛
항상 행복하시고 응원할게욥🥳🥳 사랑합니당٩(ˊᗜˋ)و",22개,2020. 5. 23.
맞나,21:27 네? 봄웜은 드러눕습니다,5개,2020. 5. 23.
이쟁찌,"28:16 이날 화장 너무 예뿌다 ㅠㅠㅠㅠ
+ 헉 근데 즈하님은 맘에 안 드셨구나 ㅠㅠ 깔끔하고 예뻐요
저번에 인스타에 올린 꽃구경 하는 길냥이 본 날 그날인가봐요🌸",11개,2020. 5. 23.
al,"6분전인데 사람 짱 많아..
언니의 인기란😉",37개,2020. 5. 23.
yeonyoo,"에어팟 케이스와 키링을 달기위해 
에어팟을 사는 배운사람 로즈하😚",6개,2020. 5. 23.
꾸미꿈,아 사랑해 우리 언니 최고야 🤦🏻‍♀️💙,37개,2020. 5. 23.
재은,"언니 마음에 안들어요...





제 맘 '안'에 들어요!!!❤❤❤
빨리 왔어요!!!👣
코로나 조심하세요ㅠㅠ지은언니!!💗💗💗💗",29개,2020. 5. 23.
hyoen2,영상이 이렇게 긴데 광고하나 없다니 ㅜㅜㅜㅜㅜ 쭉 뚫린 고속도로마냥 속시원한 재생바에 마리뽕 가득 채우고 잼게 봅니다💜💜💜💜,2개,2020. 5. 23.
