유투버,조회수평균,댓글수평균,좋아요평균,싫어요평균,영상길이평균,구독자수
01.백종원,0.2482811,0.173941074,0.191606039,0.123257395,0.23763102,1
02.떵개떵,0.113287496,0.159048417,0.127133467,0.147200499,0.273326981,0.991258741
03.문복희,0.908258714,0.755592805,0.883949369,0.774141448,0.232158127,0.953379953
04.하루한끼,0.687599936,0.631332603,1,0.471438286,0,0.778554779
05.햄지,1,0.58842112,0.949342978,1,0.259033937,0.76981352
06.쿠킹트리,0.070854653,0.065424537,0.177974695,0.018417772,0.161083828,0.761072261
07.FRAN,0.058002878,0.043698021,0.068463425,0.172560354,0.166532288,0.656177156
08.쯔양,0.474936041,0.453523306,0.359971558,0.271846311,0.30469838,0.56002331
09.유디티,0.103333866,0.085771388,0.13348862,0.163323133,0.329155367,0.557109557
10.한세,0.296450272,0.162026949,0.301669932,0.096197439,0.114002297,0.533799534
11.푸메,0.358210745,0.240177938,0.378944916,0.420803582,0.314520267,0.516317016
12.꿀키,0.0821874,0.041454452,0.101528645,0.021676301,0.20396296,0.452214452
13.MINEE EATS,0.076590982,0.201444136,0.117923099,0.08044316,0.191551223,0.318181818
14.엠브로,0.197713463,0.125214364,0.125936119,0.130596169,0.209631313,0.297785548
15.나름,0.234489926,0.808007221,0.227158058,0.185197779,0.272398544,0.291958042
16.아리키친,0.135013591,0.175449681,0.164619662,0.065425592,0.19353026,0.236596737
17.애주가,0.215022386,0.16437367,0.078226415,0.103252862,0.218353735,0.201631702
18.SOF,0.005976175,0.01582103,0.003090078,0.005723677,0.232231425,0.14044289
19.입짧은햇님,0.052246562,0.026729418,0.035950828,0.024991499,1,0.137529138
20.상윤쓰,0.332826991,1,0.390273668,0.269522838,0.196901952,0.108974359
21.야식이,0.096058523,0.138456579,0.101989163,0.072906041,0.38515478,0.092657343
22.산적TV,0.120762712,0.087009219,0.049674275,0.058115154,0.247575069,0.080128205
23.아내의식탁,0.05290614,0.013977177,0.051575295,0.009095546,0.133670503,0.072843823
24.권회훈,0,0,0,0,0.189572186,0.033799534
25.수빙수,0.307243364,0.586074399,0.298169992,0.16522158,0.20816536,0.028554779
26.먹어볼래,0.190518068,0.290529302,0.090291996,0.145953757,0.159740038,0.024184149
27.신쿡,0.017508794,0.025543163,0.033032983,0.011078998,0.222947055,0.005536131
28.가르마,0.045970579,0.0161047,0.043319122,0.070072538,0.291407071,0.00495338
29.시니,0.054005437,0.030172136,0.049858483,0.038677321,0.396760243,0.002331002
30.맛상무,0.042232971,0.052195216,0.019116118,0.025898221,0.184416917,0
