닉네임,댓글,좋아요수,날짜
팡이,"헐 언니 개명하시면서 저랑 이름이 똑같아지셨네요 화들짝!!! 저는 고울연 옥돌 우인데, 우리 같은 음절 이름 가진 사람들끼리 대단하고 행복하게 살아봐요 제 이름이 괜스레 더 좋아지네요~ 고맙습니다 ㅎㅎㅎㅎㅎ응원할게요!",7개,2020. 4. 21.
김규리,세에상에.... 나 더보기란에 제품 사는 구매처 링크까지 남겨두는 유튜버 처음본다... 센스 오지구요 배려 지리구요 연우언니 짱이구요~~~~,21개,2020. 4. 21.
다재다능한하루,헉 아직 보기 전이라 어떤 내용인지 넘나 궁금한데요...?̆̈!❤️ 오늘영상도 잘볼게용 ㅎㅎ,29개,2020. 4. 21.
예나,ㅁㅊ 제목에 놀라서 들어와따 세상에ㅠㅠㅠㅠㅠㅇ0ㅇ,17개,2020. 4. 21.
honghong,이언니 우째.. 이래 이쁘실까 오늘도 너무 귀욤귀욤 하십니당..,16개,2020. 4. 21.
앙기모띠주는나무,"진짜 이언니는 볼때 마다 너무 귀여워...
최강 동안이라굽...나는 노안인데 나랑 얼굴 바꿀래여 언니?ㅜㅜㅜ",14개,2020. 4. 21.
o3odls,4:42 예 ? 30대요 ?,7개,2020. 4. 21.
랄랄라,"연우라는 이름 잘 어울려요~ 이름을 들었을 때 털털하구 귀염둥이 옆집 언니 느낌?
우때문에 털털하구 연때문에 귀여운 느낌은 살아있는 느낌적인 느낌!
물론 연두콩님이 제일루 잘 어울립니다요 ㅎㅎ",12개,2020. 4. 21.
AmilYoon,"유튜버가 큰 대중에게 말하는 직업이다 보니 아무리 영상에 말을 많이 해도 눈 앞에 들어주는 사람이 없어서 ""내 말을 들어 주는 사람이 있을까?"" 라는 고독감이 있었을 수 있을 것 같아요..연우님을 걱정하고 응원하는 팬들이 있고, 우울한 모습과 감정에 솔직한 모습도 모두 아껴줄 사람들이 있으니 앞으로 연우로써 즐겁고 행복한, 그리고 좋은사람들이 함께인 인생을 사셨으면 좋겠어요. 앞으로도 더 잘되고, 더 많이 성장할 연우님을 위해 응원하겠습니다!",11개,2020. 4. 21.
김연주,아아.. 나와같이 술좋아하는 연주님은 가셨지만.... 연우님도 좋아요😊 앞으로 연우님 열심히 응원할게요!!ㅎㅎ,25개,2020. 4. 21.
라떼는마리아,조루힠ㅍㅌㅋㅌㅋㅋㅊㅌㅊㅋㅊㅋㅊㅋㅊㅊㅋㅊㅋㅊㅋㅍㅌㅊㅋ히잌ㅌㅊㅊㅋㅊㅋㅊㅊㅋㅋㅌㅊㅋㅊㅌ개명추카해요 앞으로 더 멋진 인생 살길 바래용!!!!!!,20개,2020. 4. 21.
씨앙이다나는,"두콩언니가 바꾼 이름도 이쁜이름 일것같지유:;:;❤사랑해유😍도움됬어유❗
마스크에 저의 화장이 너무 많이 뭍어나는데 이거 보고 메이크업 해야겠네유",60개,2020. 4. 21.
HoseonLee,새이름이 훨씬 잘어울리고 이미자랑 잘 맞아요. 뭔가 전이름이 쎄고 안어울리는 느낌이었는데 연우가 제이름 찾아간 느낌이네요.,4개,2020. 4. 21.
지윤박,오 알람 뜨자마자 왔어 언니 인트로부터ㅜㅜ 사랑해용🥰🥰,10개,2020. 4. 21.
신정아,조루 희...라니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ연우가 딱이에요!!!넘 잘 어울려요ㅎㅎㅎㅎ연우의 인생은 앞으로 꽃길만 있을거에요🌸🌼🌺🌸🌼🌺,8개,2020. 4. 21.
죄짓는기분이야,헐 뭐야 오늘따라 너무 더 통통튀는ㄷ염???,5개,2020. 4. 21.
진32,"30 인생 연주로 살았으니 앞으로 연우로 살아보자는 얘기가 너무 좋아요! 연주언니 그동안 너무 힘든 일들을 겪고 버텨오느라 고생했어요, 이제는 연우언니 저희랑 행복하고 즐거운 일만 가득하게 바랄게요 ♥︎♥︎♥︎",9개,2020. 4. 21.
데미,언니!! 언니는 이름이 바뀌든 안바뀌는 저희한테는 소중한 연두콩이에요!!,2개,2020. 4. 21.
신은하,저렇게 컨실러 발라도 평소 화장하는 거랑 전혀 다름. 훨씬 가벼움,2개,2020. 4. 21.
오도독,8:03 오잉 내가 눈 깜빡이는줄 😳😳😳,3개,2020. 4. 21.
honghong,언니 만의 특유의 말투  ~하네유 에 빠져 버렸습니다용... 너무 귀여우세요 진짜루  중독 된것같아요!!!,6개,2020. 4. 21.
소다D,봄웜 되고싶은 갈웜ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3개,2020. 4. 21.
이이,이렇게 메이크업도 하면서 얘기 듣는 거 너무 좋아요ㅠㅠㅠㅠ 자주 해주셨으면 좋겠어요ㅎㅎㅎ 얼굴도 화면 가까이여서 메이크업 보기도 좋았어요!! 오늘도 최고였습니다~~,2개,2020. 4. 21.
3636,아 이런.. 앰플샀는데 프라이머도 사야겠다 ㄷㄷㄷㄷ,2개,2020. 4. 21.
김규나,꺄아아아 연우언니 ㅠㅠㅠㅠ 제가 아는 연우 중에서 젤 좋아합니다..❤ 늘 응원해요!! 저도 개명한 사람인데 이름 많이 불러주는게 중요하다고 하더라구요! 울 연우 언니 더더 잘되길 빌구 ㅎㅎ 연우 언니 오래 봐요! 🥰 🧡,22개,2020. 4. 21.
보람이,11:54 들숨 ㅋㅋㅋㅋㅋㅋㅋ 웃겨요!!,2개,2020. 4. 21.
련묘,저도 연꽃련(연)자 쓰는데ㅠㅜㅜ,4개,2020. 4. 21.
박연주,언니랑 이름 똑같아서 행복했는데ㅜㅜㅜㅜㅜ 지금 이름도 이뻐요ㅜㅜㅜㅜㅜ❣️,2개,2020. 4. 21.
반유민,누가 언니를 30세로 봐......찐동안이다ㄹㅇ,3개,2020. 4. 21.
정인영,저두 크로스페이드 샀어요ㅜㅜㅠㅠ코랄덕후로써 안 살 수가 없는 색인것 같아요ㅜㅜㅠㅠ,2개,2020. 4. 21.
토마토맛토,"2:49 저도 프라이머로 샀는데 첨에 안 흔들고 썼더니 층분리가 일어나더라구요 중지로 둥글리면서 바르는 법 담부터 써볼게용🙆‍♀️💕 저도 개명인이에요!! 전 아주 어릴적에 바꿨어욯ㅎ호
9:39 편집 취향저격ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10:28 뭐얔ㅋㅋㅋㅋㅋㅋNHㅋㅋㅋㅋㅋㅋ",11개,2020. 4. 21.
뿡삥빵,언니랑 이름이 같아 졌네유ㅎㅎㅎㅎㅎ,2개,2020. 4. 21.
소라색우비,와 언니 너무 좋다ㅠㅠㅠㅠ 언니는 그냥 다 좋아!!,1개,2020. 4. 21.
CH96,와아ㅏㅏㅏㅏㅏㅏ시청 전에 댓글달아야죠-!! 언니 오늘도 영상 고맙습니다😆 연우라는 이름으로 첫 영상!! 잘보겠습니다💚 16년도부터 언니 영상보고 메이크업 시작한 연두부인데 ㅜㅜ 언니 영상 정말 유익하고 도움이 많이 돼요-❣︎ 라이브 방송도 자주와줘서 고맙고 감사해요💚💚💚💚💚,14개,2020. 4. 21.
김승연,"10:38 연우언니 마음=내마음..💚
그래두 언니는 잡티가 많이 없어서 파데'만' 안써두 피부표현 너무 예쁘쟈나요 😚",1개,2020. 4. 21.
밤길조심해,"언니 그냥 이름 조시 부시로 개명해요ㅠㅠ
내  마음을 조시고 부셨잖아용!",2개,2020. 4. 21.
HeHymnOfDeath,이 언니는 당최 안 늙네...2010인가... 초딩 때 화장 궁금해서 화장하는 법 쳐봤을 때 언니 영상 떴을 때가 엊그제 같은데... 저 이제 성인이에여...ㅠㅠ,1개,2020. 4. 21.
김하은,조루희ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 언니 너무 웃겨요ㅜㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 4. 21.
채민정,아니 어떻게 저 얼굴이 30대야... 넘 기엽뽀짝하다ㅠㅠㅠㅜㅜㅠㅠ,0개,2020. 4. 21.
햄찌,진짜 잘어울려요 이름!! 잘하셨네요 저도 어릴때 너무 힘들었던 사람이라 개명도 생각해봤어서 응원합니다:>,2개,2020. 4. 21.
Grace,언니 저도 요새 이름 바꿔야하나 고민중이었는데 ㅋㅋ큐ㅠㅠ 언니 영상 보니까 바꾸고 싶어지네요 ㅎㅎ 연우 언니 이름 넘 잘 어울려유💚,2개,2020. 4. 21.
MinjiKim,연두콩 언냐 보면 만화에 나오는 아기자기한 여주 같다 ㅜ 넘나 기욤,1개,2020. 4. 21.
기다림,ㅠ ㅠㅠ ..언니 영상 보는게 요즘 낙이에요 넘 무기력.. 고마워용 🥺🥺💙,7개,2020. 4. 21.
singing,개명 너무 축하드려영~~ 😆🥳 저도 개명인인데 사주이런거 안믿지만 이름의 뜻은 믿어요 이름 따라가는게 있는 것 같아서 ㅎㅎ 앞으로 연우언니 행복한 나날만 보내세여😊🤗,1개,2020. 4. 21.
sue,귀여워요 ㅠㅠㅠㅠㅠㅠ,3개,2020. 4. 21.
이지희,언니가 힘드셨었다니 ㅜㅜ..앞으론 우리 꽃길만 걸어요 ㅠㅠㅠ 언니 진짜 사랑하긔...🙏❤,2개,2020. 4. 21.
김예은,와 진짜 이번 메이크업 레전드...너무 제 취향입니다ㅠㅠ,0개,2020. 4. 21.
이수정,새로바꾼 이름 되게 잘어울려요!!! 원래 연우같은 느낌,2개,2020. 4. 21.
BinH,"오늘도 너무너무 사랑스러운 연우 언니❣️❣️
저 진짜 선크림 바르고나서 손에 찝찝함 땜에 물티슈로 항상 닦는거 완 전 공감되요ㅠㅠㅠㅠ 이번에 선크림 한번 바꿔봐야 겠어요ㅎ😍",1개,2020. 4. 21.
유유,와 메콥 색감 진짜 찰떡 ㅠㅠㅠㅠㅠㅠ 저 립 갖고싶네여 ㅠㅠㅠㅜ 렌즈는 무엇일까용,1개,2020. 4. 21.
혜링,와 이 썸넬을 보고 어떻게 지나가... 진짜 되게 조그만 상큼 귀욤 자몽같다...!!!!❤,0개,2020. 4. 21.
팔월,루희..ㅠㅠㅋㅋㅋㅋㅋ조연우조연우조연우! 그리고 여전히 연두콩 언니 울 언니 🥺🤍,1개,2020. 4. 21.
Alice,나랑 같이 대학 입학해도 안 이상할 동안 외모......ㅠㅠㅠㅠㅠ 넘 카와이 앰플 탐난다 그리고 새로운 이름 너무 잘 어울려요,0개,2020. 4. 21.
