닉네임,댓글,좋아요수,날짜
엠브로MBRO,"안녕하세요 엠브로입니다 오늘 영상 기점으로 4일정도 채널을 좀 쉬어갈까합니다
저번에 간략히 한번 얘기드렸지만 못보신분들 많으실거라 예상되어 한번더 적어봅니다
일요일기점으로 채널 영상들 분위기가 조금 바뀌지 않을까합니다
사실 여러분들이 생각하는 우와~ 머야? 이런느낌은 아니지만
기존 컨텐츠들과는 조금 다른느낌을 가질수있는 영상들 만들어볼까합니다
실내 (asmr,리얼사운드)류 영상도 최근 구독해주신분들이 계시기에 영상 사이 틈틈히 업로드 할게요
바뀌는건 농촌라이프가 두가지 버전으로 나뉘어집니다 그리고 오늘 영상 처럼 항상 컨텐츠형으로 제작될거같아요
이전에는 채널에 올라오는 영상들이 음식이 주가 되거나 식당이 주가 되었는데
음식은 이제 한편에 한 소재거리로 사용될거같습니다
(그래도 틈틈히 식당같은곳도 좋은곳 발견하면은 영상으로 제작하고할게요 ^^)
원래 이작업을 조금더 빠르게 진행하려고 했던 건인데 최근 이사를 준비 하면서 미뤄졌었어요 
그러다가, 이사를 다른분이 맡아서 해결해주기로 하셔서 마음 편히 컨텐츠 제작에 신경쓰고있습니다
앞으로 영상이 주제가있고 조금더 재미있는 예능형 채널로 바뀐다는거 요렇게 공지 드리고 마무리하도록 하겠습니다 :)
4일간 채널은 쉬어가지만 저는 부지런히 컨텐츠 많이 찍어서 제공하겠습니다
마지막으로 4일간 쉬는 이유는 사실 멀리 촬영을 떠나기 때문에 쉬게 되서 죄송스럽게 생각합니다
그래도 돌아오는날 다시 재미난 영상으로 찾아뵙도록 할게요 
긴글 읽어주셔서 감사하구요 즐거운 밤되세요 !",732개,2020. 5. 20.
AndrewJung,채널이름 슬기로운 브로생활로 바꾸자,203개,2020. 5. 20.
권순창,"슬기님 집에 도둑들어도 엠브로 왔다고 착가할듯
""야 이 미친 이 밤 중에 오냐!!""",151개,2020. 5. 20.
iamjulie,"슬기 당신 너무 잘 자는거 아니야 맨날 집에 몰래 들어와도 모르고 바보 당신,,,",213개,2020. 5. 20.
내손이만진거기,"슬기는 매일밤 이슬이하고 자는구나...
일어나면 옆에 없는게 흠이지만...",271개,2020. 5. 20.
ML리아,슬기오빠 우리 술 조금만 먹자.. 걱정된다ㅠㅠ 간 나빠질것같아.. 오래오래 엠브로님이랑 영상 찍어야죠ㅜㅜ!! 엠브로 영상에서 슬기오빠 안나오면 뭔가 허전해  ..,104개,2020. 5. 20.
폭스멀더짱,"0:42 누가 ""뿡"" 소리를  내었는가~~??",197개,2020. 5. 20.
아담Adam자취생먹방,슬기님 겉으로는 싫어하는 티 내셔두 속으로는 좋아하실 거 같아요 츤데레!!! ㅋㅋㅋㅋㅋㅋ 저도 엠브로님같은 좋은 친구있으면 너무 좋을 것 같아요😁😁😁,227개,2020. 5. 20.
한석봉,어린애들이였으면 방구뀐거 나가는거 싫어햇을텐데 슬기님 아재라서 신경안쓸것같애..,220개,2020. 5. 20.
제서Jeseo,슬기님 솔직하게 엠브로님 오는거 기달리시죠?,188개,2020. 5. 20.
JJKim,슬기 너무 부럽다... 나도 치킨으로 깨워주는 친구 있었으면,144개,2020. 5. 20.
유백야씌,나중에 슬기님도  한번 엠브로님 집처들어가기 했으면 ㅋㅋㅋ,73개,2020. 5. 20.
하늘민트,어떤 친구가 자는동안 치킨도 사오고 먹으라고 깨워주고 .. 이런친구가 어딧나요 .. 자고 일어나니 눈앞에 치킨이라니..,42개,2020. 5. 20.
올리브,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 쓰레기네 집 몰래찾아가게 너무 재밌음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,44개,2020. 5. 20.
YenLee,did he even brushes his teeth before he eats?I 🤦‍♀️,1개,2020. 5. 20.
야간자취생페르의일본생활요리브이로그,진짜 전생에 둘이 결혼하셨나보다ㅋㅋㅋㅋㅋㅋㅋ,41개,2020. 5. 20.
지식코너,3:16  여기 고양이 소리 나요,44개,2020. 5. 20.
김경민,브로님 냄새를 선풍기바람으로 보낼 때 앞에다가 음식을 두는것보다 선풍기 뒤에 음식을 두면 음식냄새가 바람과 함께 가기 때문에 더 잘납니다 다음에 참고해서 슬기님 깨워주십쇼 ㅎㅎ,28개,2020. 5. 20.
여수지,"솔직히 저런 친구가 있으면 평생 배고프지 않겠네요 맨날 친구한테 사주고
ㅋㅋ",31개,2020. 5. 20.
hoonji,칭구아이가 칭구가 그런거지,58개,2020. 5. 20.
miniminimini,멕시카나 뿌리고 치킨 존맛인데 안유명해서 진짜 속상하다,2개,2020. 5. 20.
흐콰,0:42 공공장소에서 뀌고나서 나아닌척하려면 딴사람쳐다보면 되는데 그걸 브로형이하네요,17개,2020. 5. 20.
닥슨이,문열때 비명소린줄알고 깜놀 ㄷㄷ,3개,2020. 5. 20.
하늘,슬기로운 몰카생활(잘 속아주니 계속 쭈욱~진행중) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,57개,2020. 5. 20.
먼지,탈모인이 모발 하나 건다는거 왤케 웃기짘ㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋ,16개,2020. 5. 20.
미미,슬기..소개팅컨텐츠하면 질투날거같ㅇㅏ....☹️,14개,2020. 5. 20.
박소라,둘이 언제 결혼해여 ?????,37개,2020. 5. 20.
chenyoo,슬기 맛이 느껴지긴해..? 자다깨서 멍햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8개,2020. 5. 20.
하의권,0:42 자는 친구 똥내로 깨우기,5개,2020. 5. 20.
윤슬,근데 저 종이?는 왜 서서 치킨을 가리고있죠,18개,2020. 5. 20.
이집트산SCV,9:07 자꾸 다른 곳에 시선이 간다...,2개,2020. 5. 20.
나이트,슬기님이 제대로 밥먹는시간=엠브로님이 촬영하러 온 시간,23개,2020. 5. 20.
모든것을즐기는자,"형... 지금도 재밌엉...
너무 부담가지지 말았으면 좋겠어!
브로형~ 항상 재밌는 영상 줘서 너무 고맙고 화이팅이야!
슬기형도 화이팅!",11개,2020. 5. 20.
고래밥,슬기님 헤어하는 유투버한테 대려가서 머리 자르기 해주새요ㅋㅋㅋㅋ 아니면 슬기님 아이돌 만들기..ㅋㅋㅋㅋ,8개,2020. 5. 20.
JYL,9:36 아니 화면 멈춰서 소리만 나오는데 둘이 대화 왜이랰ㅋㅋㅋㅋㅋㅋㅋ깜짝놀랐자너...ㅎ,13개,2020. 5. 20.
별이빛나는이순간,첨에 문닫을 때 공룡 우는 소리인 줄ㅋㅋㅋㅋㅋ,3개,2020. 5. 20.
kayleekim,어머나 내가 1빠..? 어마나 어마마 어머니 머니 머니..?,11개,2020. 5. 20.
쭈루쭈쭈,8:53 엠브로 오른쪽에 있는 분은 왜 난데없이 벗방중이시죠....당황;;;ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,16개,2020. 5. 20.
우유,"친구들이 나보고 형닮았다고해서 형찾아서 영상보게됐는데 거부감없이 착해보여서 다행이야...
형닮았다는거 칭찬인거지??",2개,2020. 5. 20.
계라니,1:50 아 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 틴트 잘어울려요 슬기님 ㅋㅋㅋㅋ,3개,2020. 5. 20.
JayTaku,Love this miss English subs tho 😣😣❤️❤️,1개,2020. 5. 20.
langlangyi,슬기 항상 빨리 용서해줘! 성격도 좋아 ㅋㅋㅋ,4개,2020. 5. 20.
명품샵언니,"일어나자마자 정신없이 먹어도 맛있는 멕시카나치킨~^^




이렇게하면되나용!??ㅎㅎㅎㅎ",17개,2020. 5. 20.
돕돕,여태 진짜 이름이 슬기인줄ㅋㅋㅋㅋㅋ,1개,2020. 5. 20.
