날짜,빈도수
2020-04-01,75.6776
2020-04-02,74.75035
2020-04-03,62.41084
2020-04-04,57.34664
2020-04-05,58.98716
2020-04-06,71.11269
2020-04-07,76.46219
2020-04-08,78.67332
2020-04-09,89.80028
2020-04-10,76.81883
2020-04-11,62.98145
2020-04-12,66.0485
2020-04-13,84.66476
2020-04-14,79.31526
2020-04-15,67.33238
2020-04-16,100.0
2020-04-17,84.09415
2020-04-18,58.20256
2020-04-19,69.11554
2020-04-20,88.37375
2020-04-21,84.02282
2020-04-22,71.89728
2020-04-23,73.25249
2020-04-24,61.19828
2020-04-25,51.99714
2020-04-26,54.06562
2020-04-27,66.76176
2020-04-28,64.83594
2020-04-29,58.8445
2020-04-30,46.14835
2020-05-01,48.35948
2020-05-02,41.94008
2020-05-03,47.28958
2020-05-04,57.06134
2020-05-05,51.28388
2020-05-06,60.41369
2020-05-07,58.63052
2020-05-08,52.21112
2020-05-09,46.79029
2020-05-10,48.78744
2020-05-11,63.05278
2020-05-12,62.19686
2020-05-13,54.5649
2020-05-14,57.84593
2020-05-15,53.63766
2020-05-16,45.79172
2020-05-17,47.86019
2020-05-18,59.20114
2020-05-19,57.20399
2020-05-20,60.55634
2020-05-21,56.56205
2020-05-22,53.06704
2020-05-23,45.79172
2020-05-24,48.1455
2020-05-25,61.05563
2020-05-26,60.48502
2020-05-27,57.41797
2020-05-28,49.28673
2020-05-29,50.14265
2020-05-30,41.29814
2020-05-31,48.00285
2020-06-01,57.4893
2020-06-02,56.49072
2020-06-03,57.91726
2020-06-04,55.84878
2020-06-05,46.36233
2020-06-06,44.29386
2020-06-07,45.07845
2020-06-08,58.98716
2020-06-09,51.21255
2020-06-10,53.28102
