날짜,빈도수
2020-04-01,0.78532
2020-04-02,0.75149
2020-04-03,0.8554
2020-04-04,0.72733
2020-04-05,0.71766
2020-04-06,0.75391
2020-04-07,0.71766
2020-04-08,0.78774
2020-04-09,0.8409
2020-04-10,0.80465
2020-04-11,0.66209
2020-04-12,29.90527
2020-04-13,29.98018
2020-04-14,30.45138
2020-04-15,21.34641
2020-04-16,41.11734
2020-04-17,27.4478
2020-04-18,20.27111
2020-04-19,50.53643
2020-04-20,49.22675
2020-04-21,42.04765
2020-04-22,33.53469
2020-04-23,27.57829
2020-04-24,30.30881
2020-04-25,25.55818
2020-04-26,22.77208
2020-04-27,26.58515
2020-04-28,33.26164
2020-04-29,36.82824
2020-04-30,23.80871
2020-05-01,23.44867
2020-05-02,25.01933
2020-05-03,27.41397
2020-05-04,31.90846
2020-05-05,51.24444
2020-05-06,70.13096
2020-05-07,86.86932
2020-05-08,94.075
2020-05-09,100.0
2020-05-10,69.075
2020-05-11,61.82099
2020-05-12,54.53556
2020-05-13,57.35066
2020-05-14,60.27933
2020-05-15,81.31645
2020-05-16,71.50589
2020-05-17,62.87454
2020-05-18,51.84129
2020-05-19,50.71283
2020-05-20,40.23294
2020-05-21,37.15445
2020-05-22,40.30301
2020-05-23,36.85965
2020-05-24,60.99942
2020-05-25,40.17011
2020-05-26,33.99623
2020-05-27,28.95321
2020-05-28,26.67456
2020-05-29,25.17639
2020-05-30,30.867
2020-05-31,28.79373
2020-06-01,23.16354
2020-06-02,22.89532
2020-06-03,22.40721
2020-06-04,20.84622
2020-06-05,22.052
2020-06-06,19.79508
2020-06-07,18.30175
2020-06-08,18.95418
2020-06-09,17.67832
2020-06-10,19.05084
