닉네임,댓글,좋아요수,날짜
너구리,아아아 🦀 소프님 꽃게찜 먹방 참 재밋게 봤었는데. 오늘은 꽃게탕이네요~~ 게장종류말고 생물꽃게를 먹은지 진짜 오래된거같아요. 이거보니 저도 오늘 탕종류가 너무 땡기네요~! 영상 잘 보고 가요.,6개,2020. 5. 20.
정보스,아아아아아아아ㅠㅠㅠㅠ 꽃게탕 ..ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 내가 꽃게탕을 만들어 먹고싶게 만들다니 ㅠㅠㅠㅠ 진짜 너무 맛있겠다 ............,2개,2020. 5. 20.
훔바,형 힘내,0개,2020. 5. 20.
홍살,"형 이런 유튜브 감성의 영상도 좋지만 인방갬성 듬뿍담긴 라이브영상 조금 편집한 영상도 좋아 ㅜㅜ 둘다 부탁드리면 무리겠조?






업소용도 보고시푼데",2개,2020. 5. 20.
캐럿CR,소프형님 항상 매년 제철꽃게를 리뷰하고 모든 음식중에 가장좋아하는 음식이 갑각류쪽이란것도 알고있고 청이 한가지 있습니다. 크레이 피쉬 리뷰 가능한가요? 갑각류 요리 장인 소프형님(박준하)형님께서 갑각류에 환장하는 저와 많은 사람들에게 크레이 피쉬 리뷰를 해주시면 좋겠습니다. 항상 만수무강하세욥!!!                               (버터장조림 출시하고 전력으로 구매했는데 아직도 그맛을 잊을수가 없습니다. 한정판이라면 추가계획이 없는지 판다면 어디에 파는지 알려주실 수 있나요?),3개,2020. 5. 20.
너구리,5:53 🤤🤤🤤,9개,2020. 5. 20.
dragonkim,된장이 무슨 된장이죠?,0개,2020. 5. 20.
이도형,형 진짜 댓글다보고 댓글에서 말한 방법들 해주고 있구나!! 형 항상 응원해!!,1개,2020. 5. 20.
Neveah,소프님ㅠㅠ 오늘 영상 너무 좋아용💕💕💕,4개,2020. 5. 20.
KyoungCho,힘내요 소프~ 오늘도 영상 올리느라 수고 많이 했어요,3개,2020. 5. 20.
럭셔리주접,"제가 대학 신입생 때부터 아프리카에서 소프님 방송 봤으니까 2012년부터 본 것 같네요...완전 초대박팬 이런건 아니었지만 그래도 지난 몇달간 침체기에 빠지시는 모습 보면서 안타까웠습니다
이번 위기도 잘 극복하셔서 승승장구하시길 기원합니다",0개,2020. 5. 20.
서봉님,호박방망이ㅋㄲㅋㅋㅋ너무웃겨요 호방망이,3개,2020. 5. 20.
아하,헐 꽃게탕 메뉴선정 미쳤어ㅜㅜ 소프님 요리솜씨에 반하고 목소리에 또 반했어요 ㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 20.
우주최강또자,집밥 다큐같아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 20.
한맥,형 영상 퀄리티 엄청 좋당,4개,2020. 5. 20.
여성수,영상느낌 너무좋다 진짜..,2개,2020. 5. 20.
HR,미띤,0개,2020. 5. 20.
날름,아아아... 진짜 너무.. 너무너무 맛있겠다.... 아악... 아아악아ㅏ아구ㅜㅜㅜㅜㅠㅠㅠ 내일 꽃게 세마리 정도 사와서 가족끼리 소프님 레시피대로 꽃게탕 따끈하게 저녁으로 만들어 먹어야겠어요☺️✨,3개,2020. 5. 20.
김보로미,"꽃게탕!! 이제 꽃게 시즌이 지나가고 있지만ㅋㅋ 오늘 만나러갑니다★

나랏님이 사주시겠죠?",0개,2020. 5. 20.
정옐린,꽃게가 춤을 추네요 ㅋㅋ 꿀꺽 먹고싶네요,2개,2020. 5. 20.
이기영,"소프님, 진짜 너무 맛있겠어요.
2번째 영상이 끛게라니 너무 좋은 것.
건강하세요",0개,2020. 5. 20.
YuanKIM,진짜 언젠가부터 왜 추천영상에 소프님 영상이 안뜨는거죠...;;; 그나저나 핀마이크 어디꺼 쓰시는지 여쭤봐도 될까요ㅜㅠ 무선 마이크는 너무 비싸서...,1개,2020. 5. 20.
이용,꽃게 잘 안먹는데 살 보니까 먹고싶어지네요ㅎㅎ 영상 깔끔하고 길이도 적당해서 넘 좋아요!👍,1개,2020. 5. 20.
권순익,"형님 진짜 이런 느낌 너무 좋아요 ㅠㅠ
계속 만들어주세요!!",2개,2020. 5. 20.
피망Pepper,박수 천번만번 보내드립니다 수고많으셨어요 소프님!ㅎㅎㅎ 영상 계속 보게되네요 나중에 이거보고 따라도 만들것같아요!! 라디오 듣는것같기도하고 좋아요❣️,0개,2020. 5. 20.
포포,영상 너무 조와용!,0개,2020. 5. 20.
조조,"와 소프님 2년째 구독중인데 , 진짜 무슨 한편의 공중파 영상 같아요 대박입니다 ㅋㅋㅋ
이걸로 다시 떡상했으면 좋겠습니다!",1개,2020. 5. 20.
Hamingya,내가 미쳤지 ㅜㅜ 이걸 이 새벽에 보다니.....아아아아아아 위꼴 대박 ㅜㅠ,0개,2020. 5. 20.
팟호떡,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 생강술 생략한데서 빵터짐여 ㅋㅋㅋㅋ 소주 한 잔 걸치셨네 ㅠㅠ 아 꽃게탕에 소주 진짜 땡기네요 대박..,0개,2020. 5. 20.
유키yuki,재치있는 자막이 필요합니당~~! 적당한(강조) 효과음이나 bgm도 조금 들어가도 좋을거같어요,6개,2020. 5. 20.
정묵,편집이 너무 좋아여 역시 소프님 내공이 느껴집니다!ㅎㅎㅎ,0개,2020. 5. 20.
