comment,token
피부화장 뭐 한거에요 어떤제품 사용하셨는지 알고싶어요,"['피부', '화장', '뭐', '거', '제품', '사용']"
Don't give up Fighting,[]
I want to participate but I don't understand the hashtag  I don't speak korean,[]
언니 메르시비앙 원피스랑 신은 신발 정보좀요 이름이 너무궁그매요 원피스랑 같이사서 신고싶어요 저도 제발 알려줘요 디엠도 누락되는거같아요 자꾸 그래서 유튜브 댓글로 남겨용,"['언니', '메르', '시비', '원피스', '신발', '정보', '좀', '이름', '무궁', '매', '원피스', '사서', '저', '제발', '디엠', '누락', '자꾸', '유튜브', '댓글']"
IloveU,[]
Enak pasti,[]
귀여워요,[]
ほんとに可愛い、、使ってるコスメ全部欲しくなる🥺🥺,[]
아이스크림 광고받았나보네,"['아이스크림', '광고']"
오늘 정신이 없어서 영상올라간것도 깜빡🤭🤭🤭즐감해요오,"['오늘', '정신', '영상', '깜빡', '즐감', '오']"
本当にメイクうまい、、毎回がらっとイメージがかわる、,[]
まじ年齢詐欺やん。すごいよ。可愛すぎる,[]
롬앤이 제품이 다양하진 않지만 기능을 제대로 하는 제품이 많아서 인기가 갑자기 올라간듯,"['롬앤', '제품', '기능', '제대로', '제품', '인기', '갑자기']"
この方の顔になってメイクして可愛くなりたい。。。。。。🥺🥺,[]
クリオ、ロムエン…需要をわかってくれてる幸せです！,[]
いつも可愛いけど今回のメイク似合っててもんんんんんのすごく可愛いです！！！好き！！！,[]
めっちゃ可愛いな1週間コーデとか見てみたいな♡,[]
아싸 아침에 화장할때 볼영상 추가됐당 아름송이님 겟레디 항상 길이()가 길어서 좋아요 저 화장하는데 1시간 반정도 걸리는데 아름송이님 영상 재생목록에 해놓고 연속으로 틀면서 해용 아 그리구 길이도 길이인데 배경음악도 없어서 깔끔하니 아침에 화장하면서 보기 진짜 딱조아용 개인적으로 아침엔 조곤조곤조용조용하게 말하는걸 좋아해서 ,"['아침', '화장', '때', '볼', '영상', '추가', '아름', '송이', '겟', '레디', '항상', '길이', '저', '화장', '반정', '아름', '송이', '영상', '재생', '목록', '연속', '길이', '길이', '배경음악', '아침', '화장', '보기', '진짜', '개인', '아침', '조용조']"
ほんとに可愛い大好き❤️,[]
13:22 아 표현력 큐 빵터졌네요 오래된 소고기 색 말고 예쁜 소고기 색이요 ❤❤❤,"['표현', '큐', '소고기', '색', '소고기', '색']"
0:37 언닠 손은 오른쪽에 짠 하고 있는데 왜 브랜드는 왼쪽에 뜨게 했어욬,"['언닠', '손', '오른쪽', '왜', '브랜드', '왼쪽', '했어욬']"
Soooo cutenesses,[]
かわいいー！！！いつ見ても可愛い！！くちびる最高に素敵アルムソンイちゃんはピンク、チェリー系がすごい似合いますね,[]
めためたかわいすぎて泣ける！！！！！,[]
すごいこのメイク好き､､紹介されたもの全部買っちゃいそう笑,[]
ほんとうに可愛すぎる(*´꒳`*),[]
0:37 언니 반대방향이에요,"['언니', '방향']"
マジで美女唇の形羨ましい,[]
絶対整形してこの顔になって見せる…！！,[]
あなたが使ってるもの全部欲しくなってしまう！,[]
제가 아름송이님 따라서 산 립들이 최애립조합 예전 영상부터 보고 산게 너무 많아요  진심 누구 영상 보고 산 적이 없는데 아름송이님이 소개하는 립들은 진짜 제취향이 많아요 오늘 틴트도 살거같네여샤넬영상도기대할게요,"['제', '아름', '송이', '따라서', '산', '립', '최애', '립', '조합', '예전', '영상', '보고', '산', '진심', '누구', '영상', '보고', '산', '적', '아름', '송이', '소개', '립', '진짜', '취향', '오늘', '틴트', '샤넬', '영상']"
唇の形が可愛すぎる～！本当に理想！,[]
いつもかわいい🥺,[]
ロムアンド今好きで集めてたから嬉しい,[]
桃のお姫様って感じ…可愛い,[]
innisfree縛りもして欲しいです🥺❤️,[]
The foundation makes your skin look like a ghost  :( way too light and it doesn’t match your skin tone,[]
私もこんなチェリーっぽいメイクしてみよ！,[]
눈썹 진짜 깔끔하당,"['눈썹', '진짜']"
ほんとに可愛いなぁァ🥺,[]
顔が可愛い感じの方にはってソンイちゃんこそって感じ…！どのブランドのコスメも使いこなすソンイちゃん尊敬です✨,[]
I also have juicy tint in jujube and glasting tint in vintange ocean I love them Loving this make up tutorial and rom&nd product ❤️,[]
かわいすぎる…,[]
오메키치한거 너무 찰떡인데,"['오메', '키치', '거', '찰떡']"
メガネ似合うね！,[]
언니 안경쓴것도 ♡♡♡,"['언니', '안경']"
めちゃくちゃ可愛い！さっそく真似します,[]
お姫さまみたい♡♡,[]
유일하게 끝까지 보는 송이언니 메이크업 영상,"['끝', '송이', '메이크업', '영상']"
韓国語だらけ…w日本人の方〜！！！,[]
That glossy lip look is soo cute Love from the Philippines  keep safe ✨✨,[]
rom＆ndとっても気になってたのでいい参考になりました✨いつもソンイさん可愛すぎます,[]
リップめっちゃかわいい❤️このメイク好き！！！,[]
可愛すぎます,[]
저는 일본인일본에서 이거 애니메이션한국어 공부 중일본 인상이 알고 싶다알려 주세요,"['저', '일본인', '일본', '거', '애니메이션', '한국어', '공부', '중일본', '인상', '알']"
アイシャドウめっちゃ可愛い！,[]
무슨 진짜 이쁘다 진짜 너무너무 예쁘다,"['무슨', '진짜', '진짜']"
化粧映えする本当にうらやましいキレイな顔♥フィグフィグはアタシも愛用中。ブルベに似合う色だと思う(*^^*)ヨーグルトのニオイ？アタシはイチゴみたいな甘い香りがするな～と気にいってますが（笑,[]
rom&ndは私も本当に大好きなコスメだから縛りメイク嬉しい,[]
今回のメイクも可愛い～❤️❤️,[]
可愛すぎる。。お口が可愛い、,[]
ほんとに可愛い🥺🥺,[]
롬앤 이엇자나 오늘도 예쁜 언니 잘보구 가여,"['롬앤', '이', '오늘', '언니']"
いつも観てます本当に可愛い！憧れです✨,[]
아…진짜 예뽀…🥺,"['진짜', '예뽀']"
この人コーラルカラーめっちゃくちゃ似合う！！！羨ましい〜〜〜,[]
13:21 오래된 소고기 색깔  솔직한게 매력있는 송이언니 이래서 좋아해요,"['소고기', '색깔', '매력', '송이']"
なーんで可愛いの？笑笑(ˊᗜˋ*)♡,[]
오늘 메이크업 진짜 레전드 ,"['오늘', '메이크업', '진짜', '레전드']"
じゅわって感じのメイク大好き！かわいい♡,[]
광택 기분좋아서 틴트 계속 얹는거오늘도 했던짓이라 깜짝놀랐어요,"['광택', '기분', '틴트', '계속', '오늘', '짓', '깜짝']"
ビックリするくらい可愛い♡♡♡,[]
字幕あるのうれしーー,[]
本当に可愛い,[]
唇かわいいい！！,[]
とてもかわいい,[]
언니 이런 원브랜드 콘텐츠 넘나 좋은거 같아여언니 메이크업 영상은 안돌리고 정독해서 바요늘 예쁘고 좋은 컨텐츠 감사해여❤,"['언니', '브랜드', '콘텐츠', '거', '언니', '메이크업', '영상', '정독', '바', '늘', '컨텐츠']"
縛りメイク動画待ってました❣️rom&ndとても好きなので参考になりました🤩応援してます可愛い日本語字幕があってとても分かりやすくて助かっています☺️,[]
언니 워째 얼굴이 더 작아지는거 가태유 더 이뻐쟛서 사랑해요❤️❤️❤️❤️❤️,"['언니', '워', '얼굴', '더', '태유', '더', '이뻐쟛', '사랑']"
まーーーじでかわいすぎる！！！,[]
ほんとに大大大好きです！！！！！！あの、よければ今日からオソンチョシリーズ日本向けでも共同購入したいです〜,[]
언니만 기다렸숨당 ,['언니']
可愛すぎてつらい,[]
언니이번 메이크업 진짜 대바 찰떡  완전 체리 그 자체에요 ,"['언니', '이번', '메이크업', '진짜', '바', '찰떡', '완전', '체리', '그', '자체']"
진짜 진짜 귀여워 언니의 동영상을 보면서 언제나 화장법을 참고하고 있답니다,"['진짜', '진짜', '언니', '동영상', '화장', '법', '참고']"
Você ficou muito linda parabéns você é muito talentosa❤❤❤,[]
와 진짜 개이뻐요,"['진짜', '개']"
쿄쿔 귀여워라❤️,['쿄쿔']
인간 체리 아름송이 ♥️,"['인간', '체리', '아름', '송이']"
귀여워🥺,[]
진짜 인간체리  너무 이뻐요,"['진짜', '인간', '체리']"
I love watching you doing makeup ❤️,[]
넘흐 귀여워 언니 알러뷰,"['넘흐', '언니', '알러뷰']"
오늘 섀도우 볼터치 입술 색의 조화가 짱이네요 댑악,"['오늘', '섀도우', '볼터치', '입술', '색', '조화', '악']"
아름송이님 진짜 쌩얼부터 화장한 모습도 너무 이쁜거 아닌가요🤭🤭🤭,"['아름', '송이', '진짜', '쌩얼', '화장', '모습']"
綺麗すぎる🥺,[]
언니 진짜 존예에요,"['언니', '진짜', '존예']"
맨날맨날 말하지만 이번메컵도 진짜 존예탱이에요 엉니 완죤 인간체리 아니냐면서❤️🥰,"['말', '이번', '메컵', '진짜', '존예', '엉', '완죤', '인간', '체리']"
かわいいいいいいい日本の学生も大好きです〜〜🥺🥺🥺🥺🥺🥺,[]
イエベいいなぁ………ブルベでこういうメイク教えてほしい🥺🥺,[]
이번 메이크업도 찰떡 ♥️♥️♥️♥️,"['이번', '메이크업', '찰떡']"
everything is on point  Stay safe ,[]
오메너무이뻐요♡♡,['오메']
かわいい〜！！！！♡♡,[]
모든 제품 구매하고싶어져용❤️❤️,"['모든', '제품', '구매']"
세상에 너무 예쁘자나요,['세상']
13:21 오래된 소고깈 말하는게 넘웃겨여,"['깈', '말']"
私が知ってるYouTuberの中で1番可愛くて1番メイクが上手い🥺🥺日本語字幕もありがとうございます！！！,[]
かわいい！！！！！！,[]
아 언니 진짜 너무 이뻐 저도 롬앤 진짜 좋아해요,"['언니', '진짜', '저', '롬앤', '진짜']"
可愛い🥺本当に参考になる。。매회 참고가 되고 있습니다정말 내가 제일 좋아하는 스타일,"['참고', '정말', '내', '제일', '스타일']"
めっかわ♡♡,[]
ROM＆ND凄く好きだから動画にしてくれて嬉しい！(ㆁωㆁ*)私の好きなメイクの仕方だからほんとに有り難い！wよく目がコンプレックスだって言ってるけど、私はアルムソンイさんの目が素敵で凄く好き♡♡♡♡リップメイクもいつも可愛くて綺麗だし、めっちゃ参考にしてる！おんなじ考えの人がいるといいなぁ,[]
저도 봄웜인데 롬앤 제품 뭐 살지 고민하고 있었거든요 와 정말 너무너무 감사합니다 ❤❤,"['저', '봄웜', '롬앤', '제품', '뭐', '살', '고민', '정말']"
17:14 언니 너무 이뻐요 ,['언니']
짱 이뻐여 안경 찰떡이네요,"['짱', '안경', '찰떡', '요']"
可愛い,[]
너무 귀엽다 흉내내고 싶어요❤️,['흉내내']
Thank you for the english sub yeyyyyy ,[]
可愛すぎる❤️すっぴんがジョシュアに似てる！！,[]
오래된 소고기 색깔비유 미쳐요,"['소고기', '색깔', '비유']"
악 롬앤 원브랜드 제가 요청했었는데 넘조아여,"['악', '롬앤', '브랜드', '제', '요청', '여']"
そんいちゃんまじでかわいいよ〜rom&ndわたしもだいすきいつも動画みてますめちゃくちゃ参考にしてますだいすき！！,[]
so pretty <3,[]
ロムアンド大好きだから嬉しい！眼鏡も似合ってるー！！本当に全てが可愛い大好きです！！,[]
いっつも勉強になる！✨ありがとー！！,[]
오래된 소고깈쿠,['깈쿠']
어머언니 왤케이뻐,"['어머', '왤케이뻐']"
いつも動画見るの楽しみにしてます❤️✨,[]
めっちゃかわいいいい🧡メイクしたら、ナヒちゃんに似てる気がする🥺🧡,[]
렌즈 진짜 이뻐요 이번 메이크업도 프리티❤,"['렌즈', '진짜', '이번', '메이크업', '프리', '티']"
なんでも似合うしかわいすぎる🥺,[]
スキンケアの部分が本当に好き、今回なくて残念！笑パックの紹介動画とか見たいです！,[]
너무 예뻐,[]
너무 예쁘고 동경합니다 (˶ ̇ ̵ ̇˶ )🤍,['동경']
공주님 같아서 귀엽습니다 ‪(  ᷇࿀ ᷆ )‬ ,['공주']
可愛い❤️귀여운❤️,[]
안경 정보 부탁드립니다  너무 알고싶어여,"['안경', '정보']"
❤❤와우당신은너무귀엽다❤❤,"['와우', '당신']"
かわいい♡♡♡眉毛上手になってる！！,[]
오늘도 넘 이쁘세용섀도우 사야겠다 다짐을합니단엇 롬앤 아이라이너 썼었는데지금은 없는건가보네용저는 시코르에서 있길래 의외당 하면서 싸서 그때 구매했었는뎅,"['오늘', '섀도우', '다짐', '롬앤', '아이라이너', '지금', '용저', '코르', '의외', '그때', '구매', '뎅']"
可愛いです🥰頑張って下さい！사랑해요🥰🥰,['사랑']
아 어이없오래된소고기,['소고기']
롬앤이라니,['롬앤']
언닝 2번으로 하셨네용❤️ 이뻐용❤️❤️❤️❤️❤️,"['언닝', '번', '용']"
あ〜 なんでこんなに可愛いの、？？✨,[]
진짜 체리를 머금은 화장이네여,"['진짜', '체리', '머', '금은', '화장', '여']"
언니 꿈에 언니 나왔어요  언니가 메이크업 알려주고 같이 사진도 찍고 재밌게 노는 꿈 ̑̈ ,"['언니', '꿈', '언니', '언니', '메이크업', '사진', '노', '꿈']"
このお化粧インスタでみて動画上がるの超楽しみにしてたうれしい、、、！字幕もうれしい！,[]
항상 메이크업할때마다 켜놓고 배우면서 하고있는데 이번 메이크업 정말 역대급 예뻐요 아이라인 안하고 음영만준것도 잘어울리는거 같아요 내일 따라해봐야겠어요,"['항상', '메이크업', '때', '이번', '메이크업', '정말', '역대', '아이라인', '안', '음영', '내일']"
so beautifull,[]
완전 갈웜이시다 이번 영상 너무 예뻐요,"['완전', '갈웜이시', '이번', '영상']"
우와 진짜 예뽀,"['진짜', '예뽀']"
可愛くていつも見てます☺️,[]
可愛い,[]
조회수 터짐 예상 ,"['회수', '예상']"
아씨  예쁜척하는고 진짜 웃기네,"['아씨', '척', '는고', '진짜', '웃기']"
송이언니는 뭘해도 예쁜것같애요❤️❤️,"['송이', '뭘', '애']"
롬앤 팔레트 진짜 좋은거 인정합니다 팔레트 유목민이었는데 정착했어요,"['롬앤', '팔레트', '진짜', '거', '인정', '팔레트', '유목민', '정착']"
かわいい！,[]
넌 너무 예쁘다 진짜 Sorry for my broken korea,"['넌', '진짜']"
リップめっちゃ似合ってる…！！かわいい틴트색깔이 정말 잘어울리시네요언니 너무이뻐요,"['틴트', '색깔', '정말', '언니']"
初めてチャンネル登録したのがアルムソンイちゃんです！！こうした状況でも日本のこと動画で言ってくれるアルムソンイちゃん一生推します、ずっと大好きです,[]
언니 너무이뻐요,['언니']
오래된 소고기,['소고기']
古い牛肉て笑けど、かわいいkawaii,[]
귀엽다,[]
오늘 피부 진짜 좋네요이뻐용 언니❤,"['오늘', '피부', '진짜', '언니']"
코쉐딩 브러쉬 어디꼬에요,"['코쉐딩', '브러쉬', '어디꼬']"
다음 브랜드는 모게요,"['다음', '브랜드', '게']"
いっつも日本語字幕を付けてくれて本当にありがとう…！！新しい動画をすぐに見られて嬉しいです！,[]
韓国のYouTuberの中で一番メイクうまいし一番かわいい,[]
와하우썸네일 미틴역대급으루 이뻐여요정같애 에뛰드도 그렇구 삐아두 그렇고 언니 원브랜드메컵은 항상 역대급인듯🥺,"['썸네일', '틴', '역대', '루', '요정', '애', '에뛰드', '삐', '아두', '언니', '브랜드', '메컵', '항상', '역대', '듯']"
아름송이님 클리오 쿠션은 2호부터 나와용 1호는 없어요 그리고 란제리 컬러는 다른 쿠션들에 비해서 밝은 편이에요 ,"['아름', '송이', '클리오', '쿠션', '호', '호', '란제리', '컬러', '다른', '쿠션', '비', '편이']"
Erm it’s written « ENG » in the title but there are no English subtitles 🥺 would it possible for you to remedy the situation Thank you,[]
美しすぎるよアルムソンイちゃん,[]
원브랜드 하니까 첫만남 썰 밖에 기억이 안나요   큪퓨,"['브랜드', '만남', '기억', '안나', '큪퓨']"
와 진짜 바닷속에살고있는 공주같아요,"['진짜', '바', '속', '공주']"
