닉네임,댓글,좋아요수,날짜
김한결,조코비ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 치트키다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,18개,2020. 6. 3.
hyeonjung,언제부터 월클이 이래저래 설명해서 월클이다 이랬냐 누가봐도 딱 아 재 월클 ㅇㅈ 이래야 월클이지,19개,2020. 6. 3.
김사호,손흥민이 월클이면 월클이 전세계 50명 정도 되겠네. 말이 되나.,4개,2020. 6. 3.
정수리,"삐빅) 곧 악성 손까들과 악성 손뽕들이 몰려올 영상입니다




삐빅) '이미' 악성 손까들과 악성 손뽕들이 몰려'온' 영상입니다",36개,2020. 6. 3.
KiminNam,챔스우승 하고 발롱도르 17위는 월클 아니라고 하고 빌롱도로22위는 월클이래 ㅋㅋㅋㅋ,14개,2020. 6. 3.
최oo,종윤이 형 기준으로 하면 월클 절대 아니짘ㅋㅋㅋㅋ적어도 전 세계에서 동 포지션3위안에 들어야 해서 피르미누도 월클 아니라는데ㅋㅋㅋ손이? 확실히 국뽕이 있긴 한듯 막 심하진 않지만,100개,2020. 6. 3.
킹재연,사람마다 기준이 다르겠지만 제기준에선 월드클래스까진 아닌거 같지만 제가봐온 한국선수중에 가장 월드클래스에 가까운 아시아선수인거 같아요 아직 젊기도하고 좀만더 발전하면 월드클래스급의 선수가 되지않을까합니다 훌륭한선수인듯해요,2개,2020. 6. 3.
뷁뛝쒥,냉정하게 피르미누가 월클이 아닌데 손흥민이 월클이라고? 좌측윙포워드에서 탑5 안에도 냉정하게 못 들어 진짜 손까가 아니라,37개,2020. 6. 3.
한국인,이주헌 선수 월클 맞나요?,132개,2020. 6. 3.
이미네,월클판독기에 조코비는 고정인가요?ㅋㅋㄱㅋㅋ,5개,2020. 6. 3.
TheRedDevils,"최근 1~3년간 손흥민보다 잘했다고 확언할만한 왼쪽 윙어가 쿠티뉴, 래쉬포드 이정도보단 위라고 생각하고 네이마르도 중앙에서 뛰기때문에 마네, 아자르, 스털링정도?
기준에 따라 다를만한 애매한 정도네요.
그래도 저는 네시즌 평균 20개이상의 공격포인트, 챔스 결승주역정도면 월클까지도 된다고 봅니다.",2개,2020. 6. 3.
주채혁,11:49 쉼표좌 ㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 6. 3.
고라파덕,"월클의 기준이 사람마다 다르지만 제기준에서 월클까진 아님 지금 생각나는 월클만 해도 네이마르,음바페,살라,마네,아자르,스털링 등  토트넘에서 월클이라 불리려면 전성기 베일정도는 되야할듯 그리고 월클이라 불리기엔 개인이나 팀타이틀도 없어서.. 그냥 국뽕빼고 아시아최고선수+epl에서도 활약하는 탑클선수  정도",8개,2020. 6. 3.
푸비,"1516 레스터 EPL 우승
1516 EPL 올해의 선수
2019 네이션스컵 우승
2019 발롱도르 10위

이게 누구냐면 리야드 마레즈임
(심지어 맨시티커리어는 뺀거임)
우리가 마레즈를 월클이라고 하진 않지",116개,2020. 6. 3.
닥터푸우,아직은 아니지,27개,2020. 6. 3.
이우진,개인적으로 발롱도르후보 들어가면 월클이라고 봄,2개,2020. 6. 3.
JYH,조코비는 전화만으로도 웃곀ㅋㅋㅋㅋㅋㅋ조코피ㅜㅠㅜㅠ,5개,2020. 6. 3.
김성현,"저는 리그에선 탑클라스인게 맞으나 '월드'클레스는 아직 아니라고 봅니다
국적에서 오는 패널티를 감안하더라도 그럼. 손흥민이 물론 잘 하나 실력으로 세계까지도 안가고 리그 no.1 윙어였던적이 있는가? no.2였던적은? 5손가락 안에는 문제없이 들어갈것이라 보긴 함 스타는 맞겠지만 월클은 아직 이르다라고 본다",14개,2020. 6. 3.
임희우,피르미누도 거의 아니라는 분위긴데 손흥민은 묻지도 따지지도않고 월클이라고 하기엔 좀 그렇제....ㅋㅋ,34개,2020. 6. 3.
두꺼비,그냥 애초에 월클인지 아닌지 갑론을박이 있다는거는 어떤 관점에서 보면 월클이고 또 어떤 관점에서 보면 월클이 아닐수도 있다는것을 반증하는거라고본다,24개,2020. 6. 3.
sibe,콜로세움 유발 영상은 무조건 비추라고 배웠습니다 ㅎㅎ,3개,2020. 6. 3.
호날두꼬발,6:30 진짜 어메이징변태다ㅋㅋㅋㅋㅋㅋ,3개,2020. 6. 3.
2hyoon,전세계 탑2에 들어가야 한다면 골키퍼 포지션에서 월클은 누구?? 오블락? 에데르송? 알리송? 노이어? 슈테겐? 부폰?? 우린 다 월클이라 부르지 않나??,3개,2020. 6. 3.
KpaJH,진짜 잘하긴 잘 하는데 손흥민을 월클로 치면 월클이 너무 많아짐..,7개,2020. 6. 3.
꾸꾹이,진짜 미친거아닌가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 기준이 매영상마다 바뀌는거야 뭐야 그럴꺼면 이걸 왜하는거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 더군다나 여기 손뽕 ㅅㅋ들도 역겹네 진짜 그러니까 괜히 손흥민만 욕먹는거임 적당히하셈 ㅋㅋ,1개,2020. 6. 3.
JongbeomLee,덕연좌 뭔가 이상함 피르미누는 아닌데 손흥민은 월클이래 그리고 포지션별5명까지를 pl만 치는게 아니라 유럽 5대리그에서 봐야지,13개,2020. 6. 3.
레단,종윤이형 22명 기준 정확하게 지켜줘 ㅋㅋㅋ 나도 월클 기준 그거로 하기로 결정했으니까 ㅋㅋㅋ,70개,2020. 6. 3.
홍영수,피르미누가 월클이 아니면 내가 아무리 손흥민을 좋아해도 손흥민도 월클이 아니지,28개,2020. 6. 3.
jjj,"나는 손흥민이 한국인이라서 저평가당한다는게 이해가 안되는데..
솔직히 잘하는건 맞지만 세계 최고 수준은 아님.
그런데 아시아인이 이만큼 한다고? 이런거나 아시아 최고라는 타이틀때문에 오히려 과대평가된다고 생각함",5개,2020. 6. 3.
기분이저기압일때고기앞으로오라,용남이형 말대로라면 메시도 월클이 안될수있겠는데?ㅎㅎㅎ,2개,2020. 6. 3.
수환,4:47 휴지위치 ㅗㅠㅑ,3개,2020. 6. 3.
