닉네임,댓글,좋아요수,날짜
탱별,언닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨일이에여 이게 진짜 멋지다🤦🏻‍♀️👍🏻,34개,2020. 5. 29.
SuminSeo,7:33 여러분 여기부터 수영복 리뷰입니다~~,21개,2020. 5. 29.
루미아루,3:51 하쓰ㅋㅋㄱㅋㅋㅋㅋㄱㄲㅋ아 진짜 너무귀엽게 등장하고 사라진거 아니냐구요,4개,2020. 5. 29.
귀욥꾸욥,데이즈드 흰색 원피스 수영복 너무 이뻐요 씬님ㅋㅋㅋ입은것중에 젤 어울리고 날씬해보여요,7개,2020. 5. 29.
vitaminc,I really appreciated the small amout  of water when she wash her face.. we love eco friendly fella 💕,3개,2020. 5. 29.
승현,수영복에서 가슴이 튀어나오면 큰일 아닌가욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 수영복의 의미 어디로,20개,2020. 5. 29.
유자향,6:29 박피디님 목소리 넘나 오랜만 요즘은 왜 안 나오세요 ㅜㅜ,31개,2020. 5. 29.
안녕효방이,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미리보기보고 아 이건 갸웃긴영상이구낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시나 넘 재밌닼ㅋㅋㅋㅋㅋㅋ,50개,2020. 5. 29.
혜정,"20:20 팔모으는거 너무 웃겨욬ㅋㅋㅋㅋㅋㅋㅋㅋ
20:41 라임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",26개,2020. 5. 29.
돼지감자,5:23 제가 빨개는 이따 벗을거라서ㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 언어유희 개웃겨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,20개,2020. 5. 29.
김하늘,진짜 이 언니 가끔 미친것 가탘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 너무 좋아......💕,20개,2020. 5. 29.
라디디,아ㅋㅋㅋㅋㅋㅋㅋㅋ내 체형을 빼다 박았어 한마디 한마디가 격공ㅋㅋㅋㅋ큐ㅠㅠㅠㅠ웃긴데 슬퍼 왜ㅠㅠㅠ 제발 사복 리뷰도 많이많이 해줘요 인터넷 쇼핑몰 공유도 좀 해줘요 이사람아,1개,2020. 5. 29.
이다희,0:03 오우쒸 뒤에 울엄마 있었는데 야동 보다 엄마가 문벌컥 연 느낌,19개,2020. 5. 29.
