유투버,조회수합,조회수평균,댓글수합,댓글수평균,좋아요합,좋아요평균,싫어요합,싫어요평균,영상길이합,영상길이평균,구독자수
GoAle,2733000,136650,18810,940.5,31226,1561.3,597,29.85,13206,660.3,339000
JK 아트사커 온라인,4386000,219300,11079,553.95,46300,2315,1137,56.85,11356,567.8,647000
LOVELY SWIMMER,368100,36810,1061,106.1,5826,582.6,184,18.4,2898,289.8,201000
Minsoo Go,54400,2720,193,9.65,2406,120.3,89,4.45,25224,1261.2,231000
ROAD FIGHTING CHAMPIONSHIP,125803,6290.15,255,12.75,827,41.35,66,3.3,6847,342.35,432000
Shoot for Love 슛포러브,11360000,568000,17852,892.6,82600,4130,2343,117.15,15430,771.5,1200000
SIMZZANG (심짱골프),1040100,104010,1335,133.5,13938,1393.8,510,51,11109,1110.9,200000
SmiHomeTraining스미홈트,79500,7950,242,24.2,1979,197.9,14,1.4,19389,1938.9,215000
SomiFit,819500,40975,1486,74.3,20166,1008.3,252,12.6,18183,909.15,538000
강하나스트레칭,1553200,77660,2405,120.25,50532,2526.6,353,17.65,20751,1037.55,415000
김현우프로(WANNA GOLF),193100,19310,125,12.5,4224,422.4,93,9.3,7011,701.1,123000
꽁병지tv,851900,42595,3905,195.25,11121,556.05,411,20.55,8671,433.55,337000
말왕TV,8241000,412050,22754,1137.7,79600,3980,2049,102.45,11265,563.25,752000
박문성 달수네라이브,457400,22870,2175,108.75,7863,393.15,444,22.2,13712,685.6,227000
뽈인러브,359000,35900,1067,106.7,4112,411.2,108,10.8,7425,742.5,133000
석꾸축꾸,452000,64571.43,3198,456.86,9976,1425.14,395,56.43,1362,194.57,446000
이기호프로,878000,87800,588,58.8,19075,1907.5,349,34.9,6361,636.1,155000
이스타TV,1070000,53500,10318,515.9,19733,986.65,679,33.95,27524,1376.2,266000
재미어트,431900,21595,1369,68.45,6074,303.7,237,11.85,5845,292.25,287000
조제알통,710000,71000,1293,129.3,7906,790.6,201,20.1,3618,361.8,226000
준규빌더,875000,87500,2812,281.2,11022,1102.2,225,22.5,5814,581.4,198000
차도르,2737000,248818.18,2435,221.36,15234,1384.91,1023,93,8059,732.64,336000
터치플레이TOUCH PLAY,1121400,112140,1037,103.7,5235,523.5,200,20,4541,454.1,169000
풋볼아이,190400,19040,170,17,2241,224.1,54,5.4,2712,271.2,122000
피지컬갤러리,12770000,638500,28214,1410.7,160300,8015,2894,144.7,9412,470.6,1860000
흑자헬스SurplusHealth,6050000,302500,34393,1719.65,117100,5855,3982,199.1,7621,381.05,334000
힙으뜸,2689000,244454.55,3114,283.09,43154,3923.09,501,45.55,9845,895,610000
