유투버,조회수평균,댓글수평균,좋아요평균,싫어요평균,영상길이평균,구독자수
Hyojin,0.23722257450856055,0.08883506312499154,0.18818862935213748,0.2091903719912472,0.7193231112829102,0.14051841746248295
Joan Kim,0.010716550412175022,0.03652183326341998,0.07734684883208463,0.19934354485776803,0.4547523944508868,0.0037029818748781917
lamuqe,0.05409004438807864,0.018890136804644055,0.02936756280299692,0.06214442013129104,0.448782373405489,0.15610992009354901
PONY Syndrome,0.6682308180088776,0.10634497503416732,1.0,0.9999999999999999,0.19825623845724338,1.0
RISABAE,0.2055168040583386,0.06857823304150146,0.16549140590568534,0.15054704595185994,0.22754799639221746,0.32956538686415904
Sunny's,0.09207355738744451,0.035967036981908236,0.1106214191273689,0.049015317286652066,0.5562427522226516,0.09179497174040148
개코의 오픈스튜디오,0.41637830057070385,0.15307505987740355,0.4544482150727193,0.5770678336980307,0.07639049950607735,0.045605145195868266
기우쌤,0.9999999999999999,0.18666865130377125,0.3601167915381225,0.5818380743982494,0.0,0.011108945624634575
다또아,0.04375396322130627,0.04730653171134356,0.030198325253415592,0.38905908096280095,0.3422239402138899,0.1249269148314169
다영,0.0,0.03580465758244137,0.0,0.04332603938730853,0.6935102864751104,0.005846813486649782
도영이,0.25187064045656304,0.07886226167440225,0.4193477302776553,0.1024070021881838,0.20087617575054761,0.0
디렉터파이,0.1273534305643627,0.05576379210024222,0.07775143234905245,0.1280962800875273,0.6143022806339389,0.05554472812317286
디어제리,0.06043119847812302,0.012868567407748208,0.06919347730277657,0.10765864332603939,0.5610101791006312,0.01091405184174625
로즈하,0.14556984147114777,0.9999999999999998,0.2265315116791538,0.3011816192560175,0.4991968388953314,0.024361722861040727
리안,0.024032974001268234,0.0,0.03944468929043632,0.006564551422319459,0.2646995662071038,0.00019489378288833903
새벽,0.033734939759036145,0.012489682142325542,0.01841560158660202,0.10678336980306344,0.465532792165958,0.015006821282401092
샒의 삶,0.033734939759036145,0.012489682142325542,0.01841560158660202,0.10678336980306344,0.465532792165958,0.00136425648021829
소윤,0.10602409638554215,0.042435149727337924,0.07536359629792862,0.1415754923413566,1.0,0.0031183005262132163
슈스스,0.2497780596068484,0.10256965399656295,0.21066549140590568,0.39321663019693653,0.2541768672421938,0.05827324108360944
씬님,0.2627774254914394,0.07589883763413213,0.15249008373732925,0.18140043763676147,0.5999656401666451,0.20288442798674722
아름송이,0.1412175015852885,0.026589626662697395,0.09056853239312472,0.12954048140043758,0.5687411416054631,0.04580003897875658
연두콩,0.027140139505389974,0.10777932639612453,0.04818554429263992,0.0,0.11473607353004334,0.04073280062366012
유나,0.012280697526949921,0.04759881463038388,0.0071031291317761175,0.13750547045951858,0.24745951982132885,0.04580003897875658
윤짜미,0.26455294863665185,0.24789921651939753,0.23005729396209784,0.5619256017505471,0.31559506936391346,0.08088091989865524
젤라,0.05698583386176283,0.03703603469506502,0.09108285588364919,0.15317286652078774,0.5050637804406648,0.04794387059052817
한별,0.0933417882054534,0.06328737094220646,0.06698986337593653,0.2630196936542669,0.39522398316368157,0.05281621516273631
헤이즐,0.11870640456563093,0.06523592373580872,0.04451300132216836,0.3052516411378555,0.5355839024180732,0.0323523679594621
홀리,0.09625871908687382,0.017875265557976215,0.08109299250771267,0.0700218818380744,0.5735944680668298,0.007600857532644709
회사원A,0.2565630944831959,0.17120201350455336,0.12330321727633319,0.7814004376367615,0.3834557402396598,0.1249269148314169
희주,0.030522092580849716,0.07512212284001568,0.16571176729836934,0.0635886214442013,0.26076536528797833,0.017345546677060994
