유튜버,구독자 수
Hyojin,1280000
Joan Kim,578000
lamuqe,1360000
PONY Syndrome,5690000
RISABAE,2250000
Sunny's,1030000
개코의 오픈스튜디오,793000
기우쌤,616000
다또아,1200000
다영,589000
도영이,559000
디렉터파이,844000
디어제리,615000
로즈하,684000
리안,560000
새벽,636000
샒의 삶,566000
소윤,575000
슈스스,858000
씬님,1600000
아름송이,794000
연두콩,768000
유나,794000
윤짜미,974000
젤라,805000
한별,830000
헤이즐,725000
홀리,598000
회사원A,1200000
희주,648000
