Unnamed: 0,youtube_id,comment,like_num
29,지수,난 진짜 이 언니가 너무 좋다... 💖 다이어트 하는데 언니 영상 보면 다이어트 자극 받아요 엄청! 저도 언니처럼 예뻐지고 싶어요 😭 성공하면 돌아올게요 어엉ㅇ ㅠㅜ,2개
30,윤명진,넘무 좋은 컨텐츠야 ㅠ,2개
31,정진아,헐 이런 컨텐츠는 처음인 거 같아요•••❤️ 너무 독특하고 창의적인••• 하지만 언니 얼굴에 더 눈이 가는 건 뭐죠 🤪 너무 보고 싶은 희주님 진짜 보고 싶은데 볼 수가 없으니까 화가 나 🤬 남친님이랑 롱런~~ 하십쇼 형님 사랑합니다 뿅뿅뿅,34개
32,52Jade,남자친구와 함께하는 희주님 뭔가 기분좋고 편안해보요옹ㅎㅎㅎㅎㅎㅎ 보면서 마음이 몽글몽글...!,12개
33,Milktea,12:55 awww eso sonó muy cute  UwU,20개
34,김예지,희주님 남친분 말씀하시는것도 마인드도 너무 퍼펙트해요 !! 이정도면 믿고맡길수있겠어😆😆,13개
35,,4:58ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개
36,,영상보는동안 입꼬리가 내려가지를 않아서 쥐가날정도..언니 영상보는거 내 삶의 낙이에여 오늘도 사랑해요❤️,1개
37,디카프리오왕자님,언닝 항상 답글 너무 감샴당❤️❤️언니 큐엔에이가 젤 재밋아요 ㅠㅠㅜ!!,2개
38,ARAMODE,언니 목소리는 너무 귀엽구 사랑스럽구... 운전하는 모습은 존멋... 내면도 단단하구.. 진짜 안좋아할 수가 없어여😭💖,0개
39,조윤희,드라이브 하면서 QnA 해주시니까 정말 편안하게 들을 수 있어서 좋았어요!! 다음에는 눕방 같은거 해주셔도 좋을 거 같아요❤️,1개
40,설탕맛쿠우,"Hogoks 드라이브 하시는거 올려주시면 완전 좋을거같다고 올리려는데 올라왔다,,!🥺😖어쩜좋아 너무좋아 머리부터 발끝까지 다~ ~~~사랑해요오~!~💓",1개
41,기미찡Msfreckles,이런 아이디어 뱅크 희주언니쓰~!~! 그냥 너무 죠아보료🥺💕,2개
42,호박고구마,내 질문은 업따 ㅜㅜ 슬푸지만 영상 잘봣어용 ٩(ˊᗜˋ*)و,2개
43,다빙,"언니 운전하는거 너무 머시따 ,, 💃💃",3개
44,유리,그래서 언니 타투가 몇개라구요..?,21개
45,소이,남자친구분 목소리만 들리는데도 언니랑 성격 엄청 잘 맞을거 같아보여요 언니가 완전 행복해 보인다고 해야하나!??표정이???? 암튼 희쥬온니 행복하셔요💗💗💗,1개
46,okeydokeysmokyeee,훗 너무 좋은영상쓴,2개
47,parkSasha,"Me encantó ,espero tanto a verlo subtitulado jajaja ,no entendí nada pero me lo ví completo 💜💜💜💜🌌te amo mucho ,cuídese ✨",6개
48,양유진,12:56 12:56 아 너무 귀여워요ㅠㅠㅠㅋㅌㅋㅋㅋㅋㅋㅋ 귀여워서 5번 돌려봤어요ㅠㅠ으악💜,0개
49,lilian,Omg i didnt know u have a bf >< wish u all the best in ur relationship,0개
50,Yo다김,"언니 로아큐탄 부작용 심해서 지금 생산 중단됐구,, 대체제로 2차약 생긴거래유ㅠㅠ 그리고 부작용은 간수치 올라가서 술 불가,,이고 그외에 탈모나 엄청난 건조,,약 끊고 한달 내에 임신시에 기형아 출산확률이 엄청 높대요ㅠㅠ",0개
51,닭장속정란쓰,저도 나중에 면허따서 돈 많이 벌면 지프차 살꺼에여!!! 지프 내가 원하는 차 ㅠㅠ 넘 멋있어❤️,0개
52,YyYu,오늘 저도 저쪽 드라이브 하고 왔는데 시작부터 그 동네야서 놀랬어요 ㅋㅋㅋ,1개
53,민카,"언니 인스타 보고 존버타다가 바로 왔슴돠~!~!
+ 저희 아빠도 맨날 세차할 때마다 비와요ㅋㅋ큐ㅠ",1개
54,김지현,역쉬 울언뉘 너무 좋앙❤️👍,2개
55,Moonsiri,누브라 얘기할때 남친분 심쿵ㅠㅠ...!!!!!,1개
