닉네임,댓글,좋아요수,날짜
LeandroHenrique,I Lovee ❤,1개,2020. 5. 3.
루루,귀여운 눈이라고 생각하고 있었는데 반 토막나버렸....ㅎㅎ 달달하고 아주 맛나보이네요 기회가 된다면 꼭 만들어 먹고 싶어요!,2개,2020. 5. 3.
,"いつも楽しみにしてます。勉強の合間にめっちゃ見てます。
今回も凄く美味しそう🥰",2개,2020. 5. 3.
apricity,"추카추카! 당신은 한국어 댓글을 찾았습니다🥳
그나저나 한세님 오늘도 영상 이뻐용🥰",1개,2020. 5. 3.
세상의모든취미세모취,"05:15
omg!!! It looks like he's looking for help!!!
The cute Tigre that was sacrificed for us...",7개,2020. 5. 3.
수민,"한세님... 노무 신기해요...
제가 티그레를 만들려면 티그레를 만드셨고,
쇼콜라를 만들려면 쇼콜라를 만드시고
버블티를 만들려면 버블티를 만드셔요🤭",1개,2020. 5. 3.
임쑤,아닛.... 왜 하필 눈달아준 아이를 자르셨나요ㅜㅜㅜㅜ,1개,2020. 5. 3.
Sorami소라미,오늘도 영상 잘 보고가요🤗오늘도 요리를 잘하시는 한세님~🤭🧡(맛있겠다..🤤),2개,2020. 5. 3.
손서영,오른쪽 위에 안녕한세요 너무 귀여운거 아니냐고ㅠㅠㅠㅠㅠㅜ,1개,2020. 5. 3.
BabyDoll,I MISSED YOU 🥺💖,2개,2020. 5. 3.
,옴마야 썸넬 눈보고 깜짝놀랐다ㅋㅋㅋㅋ,1개,2020. 5. 3.
유빈,3:01 뭔가 이힣ㅇ히 재밌땅 이럼서 하셨을 것 같아요ㅋㅋ,0개,2020. 5. 3.
예르방,"틀위로 튀어나오는거 두더지같아^^ㅋㅋㅋ
때려주고 싶다",1개,2020. 5. 3.
너미,으악 ㅋㅋㅋㅋ 왜 굳이 눈 붙힌 애를 자르시는 거에요!! ㅋㅋㅋㅋ 초코 좋아하는 사람으로서 오늘 영상도 대만족! 직접 해먹을 일은 없겠지만 영상으로 대리만족 하고 가요!~,1개,2020. 5. 3.
왕고구마,한세님 틀에 버터 칠할 때 사용하신 붓 세척은 어떻게 하시나요 아무리 세척을 해도 미끌미끌 거려요 ㅠㅠ,1개,2020. 5. 3.
olieyo,"me: wonders if i should make it
also me: asks siblings if i should make it
siblings: do u want to food poison me now?
me: i will take that as a no...?",8개,2020. 5. 3.
LesEatGood,This is so cute!! Especially adding those 👀,0개,2020. 5. 3.
이Min,와 처음보는 디저튼데 너무 맛나보여요ㅠㅠ 내 입속으로 제발,1개,2020. 5. 3.
ManeeshaN,I wish I could grab food from the screen,2개,2020. 5. 3.
YubinLee,디저트는 역시 초콜렛이죠!! 초콜렛 관련 영상 많이 만들어주세요!!><,1개,2020. 5. 3.
형나벨,헉 맛있겠어오... 저 눈알 너무 귀엽다,1개,2020. 5. 3.
얍얍,왠지 노른자 분리할때 터졌을것같은데... NG영상에 나오길 기대하겠습니다,1개,2020. 5. 3.
Hypefeast,Thanks for your channel. I started my own channel because of you. Keep inspiring. 🇰🇷,1개,2020. 5. 3.
LuisaR,"Hanse! I love  your recipes
A few months ago I made the crepe cake, it was delicious.
Thanks for share your recipes.
Take care! 🙆",0개,2020. 5. 3.
KimYap,i'm from phil : )),0개,2020. 5. 3.
JazVela,"I didn't understand why it's called ""tigre"" recipe 🤷‍♀️",1개,2020. 5. 3.
MikoGacha,Let's cook with HANSE💖💓,1개,2020. 5. 3.
베린BAKER,최근에 티그레 먹어보고 반해서 만들어보고 싶었는데!! 올려주셔서 감사해요ㅎㅎㅎ,1개,2020. 5. 3.
동백,이름만 딱 보고 밀크티맛나는 쿠키일 줄 알았는데 이것두 너무 맛있겠다,1개,2020. 5. 3.
도킹Doking,또 요런 귀욤 뽀짝한고😊💚🧡💜❤💛💙,2개,2020. 5. 3.
SMYGPledisStarshipandCubeEntertainment,0:42 I thought she was cracking eggs on the towel for a sec xmiddaimsfhuz 💀😂,2개,2020. 5. 3.
강주아,이제 NG 영상이 올라올때가 됫는데,1개,2020. 5. 3.
WannarotSaeong,Amazing!! I have a question. How many percent of dark chocolate have you normally added?,0개,2020. 5. 3.
게임하는남자,1:14 간장 넣은줄ㅋㅋ,0개,2020. 5. 3.
김쩌리,안녕하세요 이번에 처음 한세님의 영상을 봤는데 너무 잘 만드시고 분위기가 조용조용해서 더 집중되는것 같아요!짱이네요!구독했어요!,1개,2020. 5. 3.
