닉네임,댓글,좋아요수,날짜
AngryDog화난개,레노버 노트북 3년째 사용자 입니다.  구매 후 2년 쯤 키보드 고장나서 서비스센터 갔더니 수리비가 후덜덜 조금 더 보태면 새로 구매가능 수준 ㅠ . 키보드 ㅅㅏ서 데스크탑 대용으로 사용 중,1개,2020. 4. 29.
수상하게잘생긴사람,화사해졌네요,1개,2020. 4. 29.
크림슨,아이리스 내장글픽은 외장MX250과는 차이가 많이 날까요?,0개,2020. 4. 29.
이찬규,좋은 정보 덕에 구매 완료 했습니다. 인강 및 기초 코딩용으로 구매를 하였는데 잘한 거 맞겠죠?,0개,2020. 4. 29.
JohnLee,역시 가성비는 레노버네요... 다만 밝기는 아쉬워요..,0개,2020. 4. 29.
나님,모든 댓글을 읽는 당신,2개,2020. 4. 29.
최훈희,"영상 잘봤습니다!
각자의 구매 목적에 맞춰서 노트북 구매하시길 바라겠습니다!
웹서핑, 인강, 문서작업용이라면 굳이 비싼 제품 구매하시는것보다

휴대성(노트북 무게), 가격,  크기(13인치, 15인치 등), 가성비 고려해서 구매하시길 바라구

게이밍 노트북을 찾으신다면
그래픽카드, CPU, 모니터 크기, 옵션에 따른 여러가지 성능 비교해보시구 구매하세용!


아 참!
그리구 프리도스 제품 사셔서 윈도우 직접 받으시는걸 추천드립니다.
10~20만원은 저렴하게 구매하실 수있습니다.
 어렵지 않고 훨씬 저렴하게 노트북 구매하실 수 있습니다.

노트북 추천 

주연테크 캐리북 : https://coupa.ng/bAcjSi
델 인스피리온 : https://coupa.ng/bAckcc
MSI 모던14 :  https://coupa.ng/bAckwJ
ASUS 비보북 R564  :  https://coupa.ng/bCjc7z
레노버 S340 : https://coupa.ng/bAckZf

게이밍 가성비 노트북 추천

한성컴퓨터 : https://coupa.ng/bCjdd8

레노버 y540 : https://coupa.ng/bCjdk2
아수스 : https://coupa.ng/bCjdvY
델 : https://coupa.ng/bCjdH9

정도 추천드립니다.
물론 영상에서 추천하신 제품도 매우 좋습니다.
“파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음""
하지만 여러 동영상 찾아보구 가성비 (가격대비 CPU, 그래픽카드, 성능 등등) 고려해서 추천해드린것 알아주세요 ㅎㅎ",0개,2020. 4. 29.
다다행이,한성 rx5067w   어떤가여 ?,0개,2020. 4. 29.
Go튜버,"Ah 




글카만 있었어도 Forza Horizon4 돌릴 수 있는 놑북인ㄷ",0개,2020. 4. 29.
수재링,돌비오디오 탑재 맘에드네요,0개,2020. 4. 29.
스펨,80만원대 게이밍노트북 리뷰 가능할꺼요?,0개,2020. 4. 29.
PattayaJD,Win10 32bit 드라이버가 지원이 되나요?,0개,2020. 4. 29.
XUCKERX,롤 풀옵 가능한건가요??,0개,2020. 4. 29.
KimDun,아직까지 CPU는 3500U가 가성비이고 저는 중국산 싫어해서.. 그렇네요 ㅠㅠ 그런데 인트로가 웃기네요 ㅎㅎ,0개,2020. 4. 29.
충스,"60만원 초반에.. 성능도 나쁘지않고, 욕심나는데요..",0개,2020. 4. 29.
몽총이,Amd 르누아르 보급형 제품 존버할까요 이거 살까요?,0개,2020. 4. 29.
미스터엘MisterL,"ideapad slim3
 
CPU - i5-1035G4  4코어 / 캐시 6MB / 최대클럭 3.7GHz
내장그래픽카드 - lris Plus Graphics G4
SSD - NVMe M.2 SSD 256GB
메모리 - 4GB (일부 행사중인 사이트에선 선착순으로 4GB 무료 추가장착)
무게 - 1.7kg
IPS 패널 15.6인치 모니터에 180 눕힐 수 있고 키패드 탑재
배터리 - 환경에 따라 11시간 사용 할 수 있다고 하는데...역시 환경
(여기서 말하는 환경은 화면밝기를 30% 이하, 따른 프로그램 사용 안하고
메모리 적게 사용하는 간단한 프로그램 한두개 켜놨을때의 환경입니다.
즉, 화면밝기 최대, 볼륨 최대로 하고 유튜브 고화질 영상을
무한반복으로 플레이 시켰을시 사용시간은 절반이하로 줄어들 수 있습니다.)


노트북이라는 관점에서 보면 가성비 노트북에 속하지만 그래픽카드를 좀 좋은걸로 넣었으면 좋았을 것 같네요.",1개,2020. 4. 29.
박종대,"C포트는 없는건가요?
그럼 전기가 없는 경우 보조배터리 사용은 불가능한건가요?",0개,2020. 4. 29.
문동영,영상편집 노트북으로는 어떤가요? 쓸만 한가요?,0개,2020. 4. 29.
별에서온승기,hdd 추가 가능한가요?,0개,2020. 4. 29.
이성우,저 제품은 피파4 돌릴 수 있나요?,0개,2020. 4. 29.
오곡yeeyee,여러분들 노트북는 세진 컴퓨타 입니돠,0개,2020. 4. 29.
박광진,형님 컴맹이라 60만원대에 롤잘돌아가는 가성비 좋은 노트북좀 추천해줄수있나요??,0개,2020. 4. 29.
무브무브MoveMove,최신 철권이나 게임 돌릴수 있나요?,0개,2020. 4. 29.
DanDan,내가 저 노트북을 3월초인가 램업글한 제품을 50만원에 샀었지.. 출시기념인가 15%할인쿠폰에 무상램업글 이벤트라서 구매안할수 없었숨다. 단점은 화면이 ips가 아닌거랑 상판패널이 충격에 좀 약함. 허리높이에서 한벙 떨궜는데 상판베젤이 일어나서 꾹 눌러서 다시 끼움,1개,2020. 4. 29.
2015sij,hdd 추가할수 있는 가이드는 제공하나요? 따로 구매해야하나요?,0개,2020. 4. 29.
김창민,램 8기가로 하면 피파 되나요?????,0개,2020. 4. 29.
강승화,이정도면  갓성비네요ㅠ 사고싶네,0개,2020. 4. 29.
오재성,혹시 바람의나라 정도는 돌아갈까요??,0개,2020. 4. 29.
심심한한국인,레노버 최고단점 : AS...,0개,2020. 4. 29.
서선덕,"참고 : 라인 1대1 서는데 60프레임나오면 한타하면 개버벅거린다는게 팩트임
중하옵으로 돌려야..",0개,2020. 4. 29.
구독안하면오늘니가잘때찾아감,이야 말방구 성공한 모양임 뒤에 컴퓨터랑 모니터를 보면 알수있다,0개,2020. 4. 29.
PSM,이걸로 해킨토시를 돌릴 수 있다면 꿈과 같겠군요,0개,2020. 4. 29.
귤아저씨,케어서비스는 진짜 좋은거같지만..부산 경남지역도 해줬으면..ㅠㅠ,0개,2020. 4. 29.
유병문,"레노버 S540-14API R5 과 위모델중 고민중입니다 
어떤모델이 더나은가요? 가격은 거의 같아서요 이왕이면 더좋은것을 구매하려고요",0개,2020. 4. 29.
대대로백수,기본 8은돼야지요.,0개,2020. 4. 29.
