Unnamed: 0,youtube_id,comment,like_num
0,mn,"유튜브를 단지 취미로 하시는거면
구독자들이 영상 재촉을 할 이유가 없다고 봅니다
하지만 직업으로 하시는 거라면 남아있는
구독자들 마저도 다 떠나가버리기 전에
조취를 취하시는게 좋을 듯 합니다",46개
1,ZOO,채널 프사도 그렇고 분위기가 초창기 분위기가 나서 옛날 생각도 나면서 너무 좋아요 희희ㅎㅎ 이거이거 완전 데일리 메이크업으로 유용할 것 같아요!! 당장 시도 해볼게요. 단발 스타일링이 은근 어려운데 써니님 헤어스타일링 정복하셨군요ㅠㅠ 저도 지금 단발인데 덥수룩 거지(?같아요...ㅋㅋㅋㅋ 다음에 팁 좀 알려주세요 '-^),398개
2,난알고있지,"이번엔 1주에 한번씩 영상 업로드한다고 하지 않으셨나요ㅠㅠㅠㅠ 한달이 지났어요....
벌써 두달....ㅠㅠ",115개
3,serinkim,"벌써 2달이나 됐네요..😥 공지라도 띄어주세요,, 계속 기다리는 구독자분들 생각해주세요ㅜㅜ",34개
4,김선민,써니님 열심히 하시겠다고 한게 얼마전인 2월인데도  불구하고 4월인 지금 두달째 영상이 안올라오고 있네요ㅠㅠㅠㅠ 써니님 영상  보고시퍼요ㅠㅠㅠ,63개
5,200runggi,진짜 볼수록 단발 찰떡 ㅠ.ㅠ 발랄한 느낌이 써니님과 찰떡이에요 ⚘,268개
6,말랑꿀떠기,"썸네일 미모 미쳐버린다 진짜....,,,,......",130개
7,정서현,"4:57 헤어라인 쉐딩할때 수지님 닮으셨다,,, 넘나 예쁘다,,",61개
8,혜진,오프닝 부터 너무 예뻐서 입틀막.ㅜㅜㅜ 몇번을 돌려본건지 증말 몇번을 봐도 질리지 않아,67개
9,최수정,"언니,, 나 기억나...? 우리 부잣집에 도둑질하러 들어갔다가 언니가 핑크 다이아몬드인 척해서 나만 잡혀갔잖아... 나 이제 나왔는데... 왜 아직도 핑크 다이아몬드인 척하고 있어...? 그게 벌써 10년 전인데...",78개
10,이의정,이런 컨셉?영상 늠 좋은거가타유 ㅠㅠ 지루하지 않고 볼수록 빠져들어요....,25개
11,지미리내,햇빛이 그윽한 봄 메이크업 같아요! 단발도 싱그럽게 잘어울려요~ (이번에 단발로 활동하는 아이즈원 채원 커버 메이크업 보고싶어요ㅠㅠ),38개
12,참새짹짹,"진짜,, 이 온니는 왜 안늙냐 ,,, 초창기부터 봐온 사람인데 나는 피부가 화산송이가 되어가며 늙는 가운데 이 온니는 여전해,,,",7개
13,나기소,"와 이렇게 얼빡샷으로 하는거 진짜 좋다 
예쁜얼굴 더 크게 보니까 ❤️",11개
14,bbpeach,내가원하던영상!!!써니언니 사랑해요  ㅠ 이런데일리메컵  눈조합영상 마니찌거줘요🏄‍♀️,19개
15,금송아지,써니님때문에 단발뽐뿌 ㅠㅠㅠㅠㅠ으액,22개
16,bou,"네일 넘 시강이에요,, 정보좀요ㅠㅠㅠㅠ",15개
17,이수빈,귀여웡.. 조그마한 살구같아.. 동구라미.. 단발 귀여워 죽어..,3개
18,신채원,이거 머리 하는 법 영상 시급합니다 너무 예뻐요 언니ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,7개
19,정지원,이렇게 자주 올리는 건 있을 수 없는 일이야...ㅠㅠ 진짜 너무 감사해요ㅠㅠㅠㅠ,11개
20,포션커피,이 화장 하려면 5분은 택도 없을 것 같지만ㅋㅋㅋㅋㅋ 그래도 너무 예쁘네요,4개
21,AmySon50,너무깜찍한거아뉩니까😭😭😭💕,14개
22,박지우,요즘 영상 자주 올려주셔서 좋아요ㅠㅠ,9개
23,자몽티,열일써니 좋아용👍 5분 메이크업 너무 오랜만ㅠㅠ,9개
24,밀크티,와 이건 진짜 너무 예쁘다 일단 섀도우 먼저 사볼ㄲㅏ...,5개
25,김무쌍mussang,진짜 새내기 같아용ㅋㅋㅋ화장도 찰떡이구 데일리로 하면 좋을 것 같아욤,3개
26,나현,세로로 찍는 영상 넘 좋아여 !! 영상 잘보고 갑니다 ~~🤍❤️,3개
27,eyesonme주은,헐 라방에서 누가 새내기 메이크업 해달라 했던거 같은데 피드백 대박 언니 채고👍🏻👀,6개
28,KozueI,This makeup look is soo pretty I’ll definitely try to recreate it 😻,0개
29,ricecakesforlife,Omg can we get a hair tutorial? Your short wavy hair looks so good,5개
30,은서,아ㅠㅜㅠ완전 바른연애길잡이 바름이가 튀어나온것만 같아..💜,0개
31,cup,만화 속 고등학생 캐릭터같아요!!ㅎㅎ,3개
32,유정,"당신 왜 자꾸 똑같은 티만 입고 다니는거야 

큐티 프리티 써니러뷰티❤️",4개
33,녕포도,진짜 너무 이뻐요ㅜㅜㅜㅜ 영상 많이 올려줘서 감사합니다ㅠㅠㅠ 행복하다ㅠㅠ,0개
34,IvyTsang,Sunny you looked really cute when focusing on putting your lip stain on 🤣💖,0개
35,MaggieTing,언니 그걸 알아요? 아침에 버스에 타서 ‘두명이요’라고 말했어요 근데 기사님이 혼자탔는데 왜 두명이냐고 하는거에여 그래서 말했죠 ‘제 가슴속엔 써니라는 사람이 한명 더 있거든요’ 추운 아침이었지만 나의 뜨거운 가슴으로 버스 안을 훈훈하게 데웠던 순간이었어여💜💜,3개
36,동동동동,ㄹㅇ 이번 영상 완전 리즈에여 너무 예뻐요ㅜㅜㅠㅠㅜㅠㅜㅠㅜㅠ 그 화장만 하고 다녀주세요ㅜㅠㅜㅠㅜㅠㅜ,0개
37,1810배세은,예쁜얼굴을 이렇게 크게 볼 수 있다니..햄보켕💜💜,1개
38,OliviaYang,"세로캠 너무 좋음..💖
쉽게 화장하는 것처럼 보이지만 메이크업 스킬,디테일적으로 꼼꼼+완성도 대박😃👍
(언뜻언뜻 아이즈원 안유진양 느낌쓰🧡)",1개
39,이지우,하루하루 볼때마다 예뻐지는 울 언니ㅜㅜ 영상 하도 돌려봐서 이제 언니 멘트까지 다 외워버렸어요ㅠㅠ🥰😆❤️,0개
40,dkedflekm,펄섀도우 정보좀ㅠㅠㅠ,4개
41,2학년1반7번김지원,진짜...너무 예뻐 써니...볼때마다 짜릿해....예쁜 게 최고야!!!!🌞🌞🌞🌞🌞🌞,0개
42,jiYe,"어디선가 중국 배우 심월이 보여요 🤭❗️
이목구비 넘나 이쁜 써니님 😭💓  이번 메이크업도 역시 찰떡이네요 . 언제나 응원할게요 화이팅 🌸✨",1개
43,난알고있지,제가 인스타를 안 해서 그런데 써니니무인스타에도 피드 올라오나요...? 전영상들에도 써니님 종종 개인적으로 안 좋았다는 말을 들었어서... 앞으로 유툽 자주 업로드 하겠다는 말 뒤로 하나 올리고 소식이 없으신데...진짜 걱정...뭔가 안 좋은일 있나.. 나쁜생각하나 이런 생각들이 드네요... 별일 없었으면 좋겠어요,6개
44,찐냥,써니님!! 이번 화장도 너무 찰떡이에요 ㅠㅠㅠㅠ 🥰 새내기는 아니지만 요번 메이크업을 데일리로 잘 활용해서 다녀볼려구용 ㅎㅎ 유용한 영상 감사해요💕💕,0개
45,SsooL,잔머리 완전 애긔같아여ㅠㅠㅠㅠㅠ귀엽,0개
46,후후,와 역대급 진짜 너무예뻐요ㅠㅠㅠ,0개
47,peachgarden,"에뛰드 애교살, 펄섀도 정보좀요ㅠㅠㅠㅠ",0개
48,김꼬까,"써니님❗️ 제가 원래 뷰티유튜버를 잘 안보는 편인데, 요즘 인스타 시작하고 저도 모르게 써니님과 공감대를 쌓게 되면서 여전히 메이크업 영상은 관심이 크진 않지만, 써니님의 일상을 조금 염탐(?)하게 된것 같아요ㅎ
2019년은 써니님께 행복했을지, 잘 모르겠지만 2020년은 어느 해보다 행복하길 바랍니다💪
—나이도 비슷하고, 옵치리그도 좋아하고, 열심히 살고 싶은 한 청자가☺️—",1개
49,아란,"진짜 이 메이크업 너무 이쁘고 마음에 들어요 ㅠㅠ 몇번을 돌려본 지 모르겠어요 ,, 학생인 저는 이 메이크업 못 따라합니댜 .... 로드샵으로도 만들어쥬세요 엉엉 ( ˃̣̣̣̣o˂̣̣̣̣ )",0개
50,Sharon,hi sunny! i’ve recently gotten short hair and i don’t feel great in it.. could you make a tutorial on how you style your short hair so i can work it like you do? 💖,0개
51,별똥별,언니 오늘도 너무 예뻐요ㅜㅜㅜ 영상 잘 보고 가요!,0개
52,탬탬,ㅋㅋㅋㅋ아니 언니 언니 영상거의 메이크업이 진한편인제 연하게 하니까 왜케 어색한 거 같죠?? 이런 영상 자주 올려주세요 좀 익숙해져야 겠어요.,0개
53,수민,헐단발미쳣어요 진짜 완전 찰떡이에요 넘예뻐유ㅠㅠㅠ🧡🧡,0개
54,박서정,ㅠㅅㅠ 이언니 안어울리는게 모야.... 언니.. 오마이걸 아린 커버 메이크업 해볼 생각 없으신가 hoxy.. 언니의 금손이라면 가능할까 hoxy..? 사랑해요 써니님🔥❤️,0개
55,박소현,퀄리티가 미쳤어요 메이크업도 영상도..... 써니님이 너무 좋아요,1개
56,미미,요즘 제 생일인가요...🎂💕 써니님 넘나 선물스러운 것ㅠㅠ💗💗💗,1개
57,으이그으이그,초창기 느낌 나서 너무 좋다 ㅠㅠ❤️,0개
58,,Zr 주 보 니 께 참 좋 네 용 ~ 💖,1개
59,코코넛,내 취향 다 때려박은 썬희☀️ 넘 예뿌다ㅜㅜ,0개
60,우걀걀으항,"호고곡 당신 너무 례뻐........
썸네일 보거 끌린듯이⃕ 호다닥 들어와버렸어🌀🌀🌀",1개
61,이민주,너무 힐링...진짜 일당백...써니짱짱❤❤❤,1개
62,ILLUSION,진짜.. 너무 귀여워요...,0개
63,에으휴,언니 이렇게 귀여울 일인가요 ㅠㅠㅠ 넘 예쁘고 귀여워요 ㅠㅠ❤️,0개
64,zionx,내일 당장 따라해야겠어요 ㅠㅠㅠ 써니님 메이크업은 항상 색조합이 너무 완벽해요💜,0개
65,,단발 넘 찰떡이에요ㅠㅠㅠㅠㅠㅠ스타일링 어떻게 하시는지 넘 궁금쓰,0개
66,김예원,써니님 요즘 자주봐서 넘좋아여ㅠㅠㅠㅠㅠㅠ,0개
67,최수정,언니 세로캠 진짜 너무너무너무 오랜만 ㅠㅠ 아 언니가 아니지 20학번 애기야😭💜,0개
68,배지현,써니언니 ! 저 메이크업 따라하고 싶은데 메이블린 어반나이트랑 마크제이콥스 더 빅 오 는 아무리찾아두 한국에선 못 구하겠어서요ㅠ 혹시 대체품 있을까요?? 되도록이면 한국에서 구할 수 있는것들로요ㅜ,1개
69,hahahahohoho,"완전 갈웜 메이크업 !!! 언니 영상 잘 보고 있어요 ㅎㅎ
새내기가 새내기 메이크업 보고있다요 ㅎㅎ",0개
70,룰류,"써니님 네일 물어봐도 되나요,,,,,? 너무 찰떡 존예에요ㅠㅠㅠㅠㅠ 메이크업도 엉엉엉엉 주접떨고싶다 엉엉엉",0개
71,이하늘,영상보자마자 나온말: 아웅 예뽀~^3^,0개
72,RingBbo,선희님 열일 시작하셧다ㅜ0ㅜ❤️❤️❤️오예,0개
73,김현지,와 계속 누구 닮았지하면서ㅠ보다가 잇지에 신류진님 닮았어요ㅠㅠㅠ너뮤 예뻐여 진짜❤️❤️,0개
74,YoungSogno,언니 요새 영상 자주 올리셔서 넘 조아요.. 하지만 넘 무리하시진 마시고 항상 몸 건강 마음 건강 챙기세요!!💜💜💜💜💜💜💜 화이팅😃,0개
